"taxon","ELEMENT_GLOBAL_ID","indicator"
"Sphagnum",1252914,1
"Sphagnum",686837,1
"Sphagnum",689213,1
"Sphagnum",686908,1
"Sphagnum",689319,1
"Sphagnum",683752,1
"Sphagnum",686113,1
"Sphagnum",684699,1
"Sphagnum",688851,1
"Sphagnum",683905,1
"Sphagnum",687157,1
"Sphagnum",687156,1
"Sphagnum",685906,1
"Sphagnum",688232,1
"Sphagnum",688625,1
"Sphagnum",688908,1
"Sphagnum",683415,1
"Sphagnum",685289,1
"Sphagnum",683092,1
"Sphagnum",688620,1
"Sphagnum",688913,1
"Sphagnum",800167,1
"Sphagnum",684415,1
"Sphagnum",1131907,1
"Sphagnum",684085,1
"Sphagnum",1349438,1
"Sphagnum",688846,1
"Sphagnum",689030,1
"Sphagnum",893482,1
"Sphagnum",684612,1
"Sphagnum",686351,1
"Sphagnum",689070,1
"Sphagnum",689513,1
"Sphagnum",685030,1
"Sphagnum",721939,1
"Sphagnum",731252,1
"Sphagnum",1349446,1
"Sphagnum",688617,1
"Sphagnum",689442,1
"Sphagnum",685148,1
"Sphagnum",687799,1
"Sphagnum",686925,1
"Sphagnum",686898,1
"Sphagnum",688107,1
"Sphagnum",687008,1
"Sphagnum",731316,1
"Sphagnum",684554,1
"Sphagnum",688816,1
"Sphagnum",686403,1
"Sphagnum",917080,1
"Sphagnum",736389,1
"Sphagnum",893479,1
"Chara",683899,1
"Chara",950094,1
"Sanguina",686615,1
"Sanguina",687025,1
"Ava",900019,1
"Ava",857839,1
"Ava",689095,1
"Ava",684004,1
"Ava",857860,1
"Ava",728688,1
"Ava",1222855,1
"Ava",685777,1
"Ulva",857688,1
"Odontoschisma",689070,1
"Bazzania",685028,1
"Bazzania",800149,1
"Plagiochila",686958,1
"Pallavicinia",900047,1
"Pallavicinia",684249,1
"Conocephalum",683093,1
"Conocephalum",686196,1
"Dumortiera",689906,1
"Dumortiera",684788,1
"Hawaiia",860545,1
"Hawaiia",860434,1
"Hawaiia",860703,1
"Hawaiia",860558,1
"Hawaiia",860593,1
"Hawaiia",860668,1
"Hawaiia",860685,1
"Hawaiia",860573,1
"Hawaiia",860642,1
"Hawaiia",860432,1
"Hawaiia",860787,1
"Hawaiia",860860,1
"Hawaiia",860784,1
"Hawaiia",860757,1
"Hawaiia",1268563,1
"Hawaiia",1268575,1
"Hawaiia",1268579,1
"Hawaiia",1268577,1
"Hawaiia",1268527,1
"Hawaiia",1268581,1
"Hawaiia",939239,1
"Hawaiia",939241,1
"Hawaiia",939240,1
"Hawaiia",939238,1
"Hawaiia",1268533,1
"Hawaiia",685873,1
"Hawaiia",686536,1
"Hawaiia",1013736,1
"Hawaiia",1013740,1
"Hawaiia",1013732,1
"Hawaiia",688140,1
"Hawaiia",689803,1
"Polytrichum lyallii",899884,0
"Conocephalum conicum",686958,0
"Conocephalum conicum",686196,0
"Conocephalum conicum",685695,0
"Conocephalum conicum",683695,0
