"taxon","ELEMENT_GLOBAL_ID","indicator"
"Calocedrus",685648,1
"Chamaecyparis",836760,1
"Chamaecyparis",898961,1
"Chamaecyparis",899664,1
"Chamaecyparis",898971,1
"Chamaecyparis",899539,1
"Chamaecyparis",899524,1
"Chamaecyparis",820772,1
"Chamaecyparis",687481,1
"Chamaecyparis",689805,1
"Chamaecyparis",683385,1
"Chamaecyparis",689308,1
"Chamaecyparis",688445,1
"Chamaecyparis",684197,1
"Chamaecyparis",686330,1
"Chamaecyparis",685584,1
"Chamaecyparis",686147,1
"Chamaecyparis",686608,1
"Chamaecyparis",686947,1
"Chamaecyparis",685822,1
"Chamaecyparis",685755,1
"Chamaecyparis",688673,1
"Chamaecyparis",689079,1
"Chamaecyparis",689896,1
"Chamaecyparis",683516,1
"Chamaecyparis",685928,1
"Chamaecyparis",684553,1
"Chamaecyparis",685410,1
"Chamaecyparis",684571,1
"Chamaecyparis",689133,1
"Chamaecyparis",688211,1
"Chamaecyparis",683137,1
"Chamaecyparis",688311,1
"Chamaecyparis",688121,1
"Chamaecyparis",685214,1
"Chamaecyparis",688939,1
"Chamaecyparis",690027,1
"Chamaecyparis",736386,1
"Chamaecyparis",736389,1
"Juniperus",838433,1
"Juniperus",1284769,1
"Juniperus",1132392,1
"Juniperus",1085042,1
"Juniperus",1085069,1
"Juniperus",838450,1
"Juniperus",837771,1
"Juniperus",833205,1
"Juniperus",833268,1
"Juniperus",833273,1
"Juniperus",833209,1
"Juniperus",833210,1
"Juniperus",1132407,1
"Juniperus",1085061,1
"Juniperus",1085055,1
"Juniperus",833247,1
"Juniperus",1225711,1
"Juniperus",833251,1
"Juniperus",833252,1
"Juniperus",836637,1
"Juniperus",833221,1
"Juniperus",836597,1
"Juniperus",1127110,1
"Juniperus",860878,1
"Juniperus",837087,1
"Juniperus",857621,1
"Juniperus",899398,1
"Juniperus",899259,1
"Juniperus",899258,1
"Juniperus",899237,1
"Juniperus",878731,1
"Juniperus",1146918,1
"Juniperus",899397,1
"Juniperus",899351,1
"Juniperus",899336,1
"Juniperus",898994,1
"Juniperus",1132398,1
"Juniperus",899191,1
"Juniperus",899631,1
"Juniperus",899629,1
"Juniperus",899630,1
"Juniperus",858280,1
"Juniperus",866494,1
"Juniperus",899622,1
"Juniperus",899621,1
"Juniperus",1085089,1
"Juniperus",899620,1
"Juniperus",1085078,1
"Juniperus",899633,1
"Juniperus",899632,1
"Juniperus",899635,1
"Juniperus",899634,1
"Juniperus",1283078,1
"Juniperus",899549,1
"Juniperus",899550,1
"Juniperus",1239383,1
"Juniperus",898997,1
"Juniperus",1242955,1
"Juniperus",899959,1
"Juniperus",899233,1
"Juniperus",1361914,1
"Juniperus",1222761,1
"Juniperus",1284795,1
"Juniperus",1127118,1
"Juniperus",1309263,1
"Juniperus",898996,1
"Juniperus",899757,1
"Juniperus",899771,1
"Juniperus",684117,1
"Juniperus",686269,1
"Juniperus",684105,1
