"acgenus","actaxon","acauth","taxon","auth"
"Dicranum","Dicranum majus var. orthophyllum","A.Braun ex Milde","Dicranum majus var. orthophyllum","A.Braun ex Milde"
"Zygodon","Zygodon wightii","Dixon & Malta","Zygodon wightii","Dixon & Malta"
"Marsupella","Marsupella miniata","(Lindenb. & Gottsche) Grolle","Marsupella miniata","(Lindenb. & Gottsche) Grolle"
"Radula","Radula fauriana","Stephani","Radula fauriana","Stephani"
"Leptoscyphus","Leptoscyphus intermedius","Grolle","Leptoscyphus intermedius","Grolle"
"Lejeunea","Lejeunea rhodesiae","(Sim) R.M.Schust.","Lejeunea rhodesiae","(Sim) R.M.Schust."
"Leucoloma","Leucoloma herzogii","Broth.","Leucoloma herzogii","Broth."
"Riccia","Riccia crassivenia","Jovet-Ast","Riccia crassivenia","Jovet-Ast"
"Riccardia","Riccardia pembaiensis","(Steph.) Hürl.","Riccardia pembaiensis","(Steph.) Hürl."
"Cololejeunea","Cololejeunea mouensis","(Tixier) H.A.Mill.","Cololejeunea mouensis","(Tixier) H.A.Mill."
"Bryum","Bryum lamprocomum","Müll.Hal.","Bryum lamprocomum","Müll.Hal."
"Sphagnum","Sphagnum denticulatum var. denticulatum","","Sphagnum denticulatum var. denticulatum",""
"Cheilolejeunea","Cheilolejeunea erostrata","R.M.Schust.","Cheilolejeunea erostrata","R.M.Schust."
"Cyclodictyon","Cyclodictyon chimborazense","(Mitt.) Kuntze","Cyclodictyon chimborazense","(Mitt.) Kuntze"
"Lejeunea","Lejeunea combuensis","O.S.Moura, Ilk.-Borg. & Reiner-Drehwald","Lejeunea combuensis","O.S.Moura, Ilk.-Borg. & Reiner-Drehwald"
"Colura","Colura junghuhniana","(Prantl) Steph.","Colura junghuhniana","(Prantl) Steph."
"Cheilolejeunea","Cheilolejeunea parvidens","B.M.Thiers","Cheilolejeunea parvidens","B.M.Thiers"
"Leskea","Leskea latifolia","Lindb. ex Broth.","Leskea latifolia","Lindb. ex Broth."
"Colura","Colura hirta","Steph.","Colura hirta","Steph."
"Arctoscyphus","Arctoscyphus fuegiensis","(C.Massal.) Hässel","Arctoscyphus fuegiensis","(C.Massal.) Hässel"
"Wettsteinia","Wettsteinia rotundifolia","(Horik.) Grolle","Wettsteinia rotundifolia","(Horik.) Grolle"
"Harpalejeunea","Harpalejeunea harpaphylla","(Herzog) Bischl.","Harpalejeunea harpaphylla","(Herzog) Bischl."
"Isopterygium","Isopterygium candidulum","(Müll.Hal.) A.Jaeger","Isopterygium candidulum","(Müll.Hal.) A.Jaeger"
"Calypogeia","Calypogeia pseudosphagnicola","Bakalin, A.V.Troitsky & Maltseva","Calypogeia pseudosphagnicola","Bakalin, A.V.Troitsky & Maltseva"
"Cololejeunea","Cololejeunea spathulata","Jovet-Ast","Cololejeunea spathulata","Jovet-Ast"
"Hypnum","Hypnum pseudosplendens","Hampe","Hypnum pseudosplendens","Hampe"
"Macromitrium","Macromitrium involutifolium ssp. ptychomitrioides","(Besch.) Vitt & H.P.Ramsay","Macromitrium involutifolium ssp. ptychomitrioides","(Besch.) Vitt & H.P.Ramsay"
"Scorpidium","Scorpidium cossonii","(Schimp.) Hedenäs","Limprichtia intermedia","(Lindb.) Loeske"
"Yakushimabryum","Yakushimabryum subintegrum","(Tixier) H.Akiyama","Yakushimabryum subintegrum","(Tixier) H.Akiyama"
"Gymnomitrion","Gymnomitrion concinnatum","(Lightf.) Corda","Gymnomitrion concinnatum","(Lightf.) Corda"
"Schistochila","Schistochila caledonica","Steph.","Schistochila caledonica","Steph."
"Leucobryum","Leucobryum polakowskyi","(Müll.Hal. ex Besch.) Cardot","Leucobryum polakowskyi","(Müll.Hal. ex Besch.) Cardot"
"Orthotrichum","Orthotrichum rivulare","Turner","Orthotrichum rivulare","Turner"
"Solenostoma","Solenostoma obovatum","(Nees) C.Massal.","Solenostoma obovatum","(Nees) C.Massal."
"Rosulabryum","Rosulabryum canariense","(Brid.) Ochyra","Bryum canariense","Brid."
"Brachythecium","Brachythecium mildeanum","(Schimp.) Schimp. ex Milde","Brachythecium mildeanum","(Schimp.) Schimp."
"Grimmia","Grimmia fuscolutea","Hook.","Grimmia fuscolutea","Hook."
"Pohlia","Pohlia crudoides var. revolvens","(Cardot) Ochi","Pohlia crudoides var. revolvens","(Cardot) Ochi"
"Syrrhopodon","Syrrhopodon yakushimensis","Takaki & Z.Iwats.","Syrrhopodon yakushimensis","Takaki & Z.Iwats."
"Plagiomnium","Plagiomnium insigne","(Mitt.) T.J.Kop.","Plagiomnium insigne","(Mitt.) T.J.Kop."
"Hygrohypnum","Hygrohypnum styriacum","(Limpr.) Broth.","Hygrohypnum styriacum","(Limpr.) Broth."
"Scapania","Scapania javanica","Gottsche","Scapania javanica","Gottsche"
"Weissia","Weissia muhlenbergiana","(Sw.) W.D.Reese & B.A.E.Lemmon","Astomum muehlenbergianum","(Sw.) Grout"
"Brachythecium","Brachythecium kuroishicum","Besch.","Brachythecium kuroishicum","Besch."
"Fissidens","Fissidens subangustus","M.Fleisch.","Fissidens subangustus","M.Fleisch."
"Stephaniella","Stephaniella paraphyllina","J.B.Jack","Stephaniella paraphyllina","J.B.Jack"
"Didymodon","Didymodon acutus","(Brid.) K.Saito","Didymodon rigidulus var. gracilis","(Hook. & Grev.) R.H.Zander"
"Lophocolea","Lophocolea semiteres","(Lehm.) Mitt.","Lophocolea semiteres","(Lehm.) Mitt."
"Plagiochasma","Plagiochasma rupestre","(J.R.Forst. & G.Forst.) Steph.","Plagiochasma rupestre","(J.R.Forst. & G.Forst.) Steph."
"Pseudobryum","Pseudobryum cinclidioides","(Huebener) T.J.Kop.","Mnium cinclidioides","Huebener"
"Porella","Porella subdentata","(Mitt.) Steph.","Porella subdentata","(Mitt.) Steph."
"Tortula","Tortula lanceolata","R.H.Zander","Tortula lanceolata","R.H.Zander"
"Didymodon","Didymodon novae-hispaniae","J.A.Jiménez & M.J.Cano","Didymodon rigidulus var. subulatus","(Thér. & E.B.Bartram) R.H.Zander"
"Cheilolejeunea","Cheilolejeunea trapezia","(Nees) Kachroo & R.M.Schust.","Cheilolejeunea trapezia","(Nees) Kachroo & R.M.Schust."
"Syntrichia","Syntrichia magellanica","(Mont.) R.H.Zander","Syntrichia magellanica","(Mont.) R.H.Zander"
"Fissidens","Fissidens rufescens","Hornsch.","Fissidens rufescens","Hornsch."
"Entodon","Entodon natalensis","Rehmann ex Müll.Hal.","Entodon natalensis","Rehmann ex Müll.Hal."
"Aptychella","Aptychella tenuiramea","(Mitt.) Tixier","Aptychella tenuiramea","(Mitt.) Tixier"
"Distichophyllum","Distichophyllum mascarenicum","Besch.","Distichophyllum mascarenicum","Besch."
"Buxbaumia","Buxbaumia punctata","P.C.Chen & X.J.Li","Buxbaumia punctata","P.C.Chen & X.J.Li"
"Thysananthus","Thysananthus convolutus","Lindenb.","Thysananthus convolutus","Lindenb."
"Schistochila","Schistochila reinwardtii","(Nees) Schiffn.","Schistochila reinwardtii","(Nees) Schiffn."
"Anthoceros","Anthoceros simulans","M.Howe","Anthoceros simulans","M.Howe"
"Lewinskya","Lewinskya holzingeri","(Renauld & Cardot) F.Lara, Garilleti & Goffinet","Lewinskya holzingeri","(Renauld & Cardot) F.Lara, Garilleti & Goffinet"
"Cyclolejeunea","Cyclolejeunea chitonia","(Taylor ex Lehm.) A.Evans","Cyclolejeunea chitonia","(Taylor ex Lehm.) A.Evans"
"Fissidens","Fissidens sydneyensis","Geh.","Fissidens sydneyensis","Geh."
"Scleropodium","Scleropodium cespitans","(Müll.Hal.) L.F.Koch","Myrinia dieckii","Renauld & Cardot"
"Fontinalis","Fontinalis hypnoides","Hartm.","Fontinalis subcarinata","Cardot"
"Bryum","Bryum platyphyllum","(Schwägr.) Müll.Hal.","Bryum platyphyllum","(Schwägr.) Müll.Hal."
"Sciuro-hypnum","Sciuro-hypnum unicifolium","(Broth. & Paris) Ochyra & Zarnowiec","Sciuro-hypnum unicifolium","(Broth. & Paris) Ochyra & Zarnowiec"
"Gollania","Gollania sinensis","Broth. & Paris ex P.de la Varde","Gollania sinensis","Broth. & Paris ex P.de la Varde"
"Hyophiladelphus","Hyophiladelphus agrarius","(Hedw.) R.H.Zander","Tortula agraria","(Hedw.) P.Beauv."
"Campylopus","Campylopus dicranoides","Thér. & Naveau","Campylopus dicranoides","Thér. & Naveau"
"Scapania","Scapania matveyevae","Potemkin","Scapania matveyevae","Potemkin"
"Bartramia","Bartramia humilis","Mitt.","Bartramia humilis","Mitt."
"Cephalozia","Cephalozia drucei","(R.M.Schust.) Váňa","Cephalozia drucei","(R.M.Schust.) Váňa"
"Polytrichum","Polytrichum longisetum","Sw. ex Brid.","Polytrichum formosum var. aurantiacum","(Hoppe ex Brid.) Hartm."
"Hepatostolonophora","Hepatostolonophora rotata var. perssonii","(R.M.Schust.) J.J.Engel","Hepatostolonophora rotata var. perssonii","(R.M.Schust.) J.J.Engel"
"Physcomitrium","Physcomitrium cupuliferum","Mitt.","Physcomitrium cupuliferum","Mitt."
"Cephaloziella","Cephaloziella nothogena","R.M.Schust.","Cephaloziella nothogena","R.M.Schust."
"Leptoscyphus","Leptoscyphus physanthus","(Hook.f. & Taylor) J.J.Engel","Leptoscyphus physanthus","(Hook.f. & Taylor) J.J.Engel"
"Rhaphidostichum","Rhaphidostichum schwaneckeanum","(Müll.Hal.) Broth.","Rhaphidostichum schwaneckeanum","(Müll.Hal.) Broth."
"Dicranella","Dicranella martiana","(Hampe) Hampe","Dicranella martiana","(Hampe) Hampe"
"Neesioscyphus","Neesioscyphus homophyllus","(Nees) Grolle","Neesioscyphus homophyllus","(Nees) Grolle"
"Interulobites","Interulobites intraverrucatus","(G.J.Brenner) P.P.Phillips","Interulobites intraverrucatus","(G.J.Brenner) P.P.Phillips"
"Foraminisporis","Foraminisporis dailyi","(Cookson & M.E.Dettmann) M.E.Dettmann","Foraminisporis dailyi","(Cookson & M.E.Dettmann) M.E.Dettmann"
"Lewinskya","Lewinskya keeverae","(H.A.Crum & L.E.Anderson) F.Lara, Garilleti & Goffinet","Lewinskya keeverae","(H.A.Crum & L.E.Anderson) F.Lara, Garilleti & Goffinet"
"Cololejeunea","Cololejeunea malanjae","Steph.","Cololejeunea malanjae","Steph."
"Hampeella","Hampeella concavifolia","Hattaway & D.H.Norris","Hampeella concavifolia","Hattaway & D.H.Norris"
"Acromastigum","Acromastigum capillare","(Steph.) A.Evans","Acromastigum capillare","(Steph.) A.Evans"
"Calymperes","Calymperes robinsonii","B.C.Tan & W.D.Reese","Calymperes robinsonii","B.C.Tan & W.D.Reese"
"Riccardia","Riccardia virens","(Steph.) Hürl.","Riccardia virens","(Steph.) Hürl."
"Syrrhopodon","Syrrhopodon cavifolius","Sande Lac.","Syrrhopodon cavifolius","Sande Lac."
"Syrrhopodon","Syrrhopodon spiralis","Renauld & Cardot","Syrrhopodon spiralis","Renauld & Cardot"
"Kurzia","Kurzia brevicalycina","(Steph.) Grolle","Kurzia brevicalycina","(Steph.) Grolle"
"Anoectangium","Anoectangium rhaphidostegium","Müll.Hal. ex Besch.","Anoectangium rhaphidostegium","Müll.Hal. ex Besch."
"Drepanocladus","Drepanocladus cardotii","(Thér.) Hedenäs","Campylium cardotii","(Thér.) Broth."
"Marchantia","Marchantia pappeana ssp. robusta","(Steph.) Bischl.","Marchantia pappeana ssp. robusta","(Steph.) Bischl."
"Leptotrichum","Leptotrichum vallis-gratiae","(Lindb.) Hampe","Leptotrichum vallis-gratiae","(Lindb.) Hampe"
"Ceratodon","Ceratodon purpureus","(Hedw.) Brid.","Ceratodon purpureus var. aristatus","Corb."
"Syzygiella","Syzygiella oenops","(Lindenb. & Gottsche) K.Feldberg, Váňa, Hentschel & Heinrichs","Syzygiella oenops","(Lindenb. & Gottsche) K.Feldberg, Váňa, Hentschel & Heinrichs"
"Bazzania","Bazzania acinaciformis","Steph.","Bazzania acinaciformis","Steph."
"Perssonia","Perssonia sanguinea","Bizot","Perssonia sanguinea","Bizot"
"Radula","Radula novoguineensis","K.Yamada & Piippo","Radula novoguineensis","K.Yamada & Piippo"
"Alobiellopsis","Alobiellopsis acroscypha","(Spruce) R.M.Schust.","Alobiellopsis acroscypha","(Spruce) R.M.Schust."
"Nardia","Nardia scalaris var. botryoidea","(R.M.Schust.) Váňa","Nardia scalaris var. botryoidea","(R.M.Schust.) Váňa"
"Zygodon","Zygodon rupestris","Schimp. ex Lorentz","Zygodon viridissimus var. rupestris","Lindb."
"Weissia","Weissia controversa var. hioramii","Thér. & Bizot","Weissia controversa var. hioramii","Thér. & Bizot"
"Macrocoma","Macrocoma abyssinica var. megalospora","(Thér. & Naveau) Wilbraham","Macrocoma abyssinica var. megalospora","(Thér. & Naveau) Wilbraham"
"Fissidens","Fissidens subobtusus","Dixon","Fissidens subobtusus","Dixon"
"Orthothecium","Orthothecium rufescens","(Dicks. ex Brid.) Schimp.","Holmgrenia rufescens","(Dicks. ex Brid.) Lindb."
"Mittenothamnium","Mittenothamnium decurrens","(Herzog) Wijk & Margad.","Mittenothamnium decurrens","(Herzog) Wijk & Margad."
"Pseudoleskeella","Pseudoleskeella rupestris","(Berggr.) Hedenäs & L.Söderstr.","Pseudoleskea catenulata var. acuminata","(Culm.) Podp."
"Cryptolophocolea","Cryptolophocolea massalongoana","(Schiffn.) L.Söderstr.","Cryptolophocolea massalongoana","(Schiffn.) L.Söderstr."
"Leptotrichella","Leptotrichella flaccidula","(Mitt.) Ochyra","Leptotrichella flaccidula","(Mitt.) Ochyra"
"Nardia","Nardia scalaris","(De Not.) Lindb.","Nardia scalaris","(De Not.) Lindb."
"Cololejeunea","Cololejeunea hoeana","Tixier","Cololejeunea hoeana","Tixier"
"Plagiochila","Plagiochila guadelupensis","Gottsche ex Stephani","Plagiochila guadelupensis","Gottsche ex Stephani"
"Gemmabryum","Gemmabryum dichotomum","(Hedw.) J.R.Spence & H.P.Ramsay","Gemmabryum dichotomum","(Hedw.) J.R.Spence & H.P.Ramsay"
"Grimmia","Grimmia longirostris","Hook.","Grimmia longirostris","Hook."
"Plagiochila","Plagiochila asplenioides","(L.) Dumort.","Plagiochila asplenioides","(L.) Dumort."
"Fontinalis","Fontinalis antipyretica","Hedw.","Fontinalis antipyretica","Hedw."
"Catoscopium","Catoscopium nigritum","(Hedw.) Brid.","Catoscopium nigritum","(Hedw.) Brid."
"Nardia","Nardia subclavata","(Steph.) Amakawa","Nardia subclavata","(Steph.) Amakawa"
"Metzgeria","Metzgeria crassipilis","(Lindb.) A.Evans","Metzgeria crassipilis","(Lindb.) A.Evans"
"Lepidolaena","Lepidolaena berggrenii","E.A.Hodgs.","Lepidolaena berggrenii","E.A.Hodgs."
"Cheilolejeunea","Cheilolejeunea aneogyna","(Spruce) A.Evans","Cheilolejeunea aneogyna","(Spruce) A.Evans"
"Stereodon","Stereodon pratensis","(W.D.J.Koch ex Spruce) Warnst.","Breidleria pratensis","(W.D.J.Koch ex Spruce) Loeske"
"Plagiochila","Plagiochila aerea","Taylor","Plagiochila aerea","Taylor"
"Haplomitrium","Haplomitrium blumei","(Nees) R.M.Schust.","Haplomitrium blumei","(Nees) R.M.Schust."
"Syntrichia","Syntrichia ruralis var. ruraliformis","(Besch.) Delogne","Syntrichia ruraliformis","(Besch.) Mans."
"Campylopus","Campylopus oblongus","Thér.","Campylopus oblongus","Thér."
"Lewinskya","Lewinskya affinis","(Brid.) F.Lara, Garilleti & Goffinet","Orthotrichum laevigatum var. kingianum","(Lesq.) Grout"
"Cheilolejeunea","Cheilolejeunea discoidea","(Lehm. & Lindenb.) Kachroo & R.M.Schust.","Cheilolejeunea discoidea","(Lehm. & Lindenb.) Kachroo & R.M.Schust."
"Plagiochila","Plagiochila rigidula","Lindenb. & Gottsche","Plagiochila rigidula","Lindenb. & Gottsche"
"Sarmentypnum","Sarmentypnum tundrae","(Arnell) Hedenäs","Sarmentypnum tundrae","(Arnell) Hedenäs"
"Sematophyllum","Sematophyllum levieri","(Müll.Hal.) Paris","Sematophyllum levieri","(Müll.Hal.) Paris"
"Plicanthus","Plicanthus birmensis","(Steph.) R.M.Schust.","Plicanthus birmensis","(Steph.) R.M.Schust."
"Plagiochila","Plagiochila angulata","Steph.","Plagiochila angulata","Steph."
"Venturiella","Venturiella hodgkinsoniae","(Hampe & Müll.Hal.) Pursell","Venturiella hodgkinsoniae","(Hampe & Müll.Hal.) Pursell"
"Polytrichum","Polytrichum longisetum","Sw. ex Brid.","Polytrichum aurantiacum","Hoppe ex Brid."
"Frullania","Frullania clandestina","(Nees & Mont.) Nees","Frullania clandestina","(Nees & Mont.) Nees"
"Sciuro-hypnum","Sciuro-hypnum dovrense","(Limpr.) Draper & Hedenäs","Sciuro-hypnum dovrense","(Limpr.) Draper & Hedenäs"
"Vesicularia","Vesicularia sigmangia","(Broth.) Broth.","Vesicularia sigmangia","(Broth.) Broth."
"Erpodium","Erpodium lanceolatum","Besch.","Erpodium lanceolatum","Besch."
"Pilopogon","Pilopogon macrocarpus","Broth.","Pilopogon macrocarpus","Broth."
"Macromitrium","Macromitrium serpens","(Burch. ex Hook. & Grev.) Brid.","Macromitrium serpens","(Burch. ex Hook. & Grev.) Brid."
"Prionolejeunea","Prionolejeunea principensis","Vanden Berghen","Prionolejeunea principensis","Vanden Berghen"
"Ptychostomum","Ptychostomum schleicheri var. latifolium","(Schwägr.) D.Bell & Holyoak","Ptychostomum schleicheri var. latifolium","(Schwägr.) D.Bell & Holyoak"
"Marsupella","Marsupella taiwanica","Mamontov, Vilnet & Schäf.-Verw.","Marsupella taiwanica","Mamontov, Vilnet & Schäf.-Verw."
"Acroporium","Acroporium pocsii","Bizot","Acroporium pocsii","Bizot"
"Circulifolium","Circulifolium exiguum","(Bosch & Sande Lac.) S.Olsson, Enroth & D.Quandt","Circulifolium exiguum","(Bosch & Sande Lac.) S.Olsson, Enroth & D.Quandt"
"Ectropothecium","Ectropothecium cupressoides","(Müll.Hal.) Mitt.","Ectropothecium cupressoides","(Müll.Hal.) Mitt."
"Lejeunea","Lejeunea tenella","Taylor","Lejeunea tenella","Taylor"
"Lepicolea","Lepicolea yakushimensis","(S.Hatt.) S.Hatt.","Lepicolea yakushimensis","(S.Hatt.) S.Hatt."
"Schlotheimia","Schlotheimia recurvifolia","Hornsch.","Schlotheimia recurvifolia","Hornsch."
"Cnestrum","Cnestrum alpestre","(Wahlenb.) Nyholm","Oncophorus alpestris","(Wahlenb.) Lindb."
"Jungermannia","Jungermannia konstantinovae","Bakalin & Vilnet","Jungermannia konstantinovae","Bakalin & Vilnet"
"Cheilolejeunea","Cheilolejeunea laurentii","Steph.","Cheilolejeunea laurentii","Steph."
"Frullania","Frullania jacquinotii","Gottsche","Frullania jacquinotii","Gottsche"
"Lophocolea","Lophocolea cervicornis","Steph.","Lophocolea cervicornis","Steph."
"Jungermannia","Jungermannia supina","Hoffm.","Jungermannia supina","Hoffm."
"Rhynchostegium","Rhynchostegium drepanocladioides","(Müll.Hal.) Kindb.","Rhynchostegium drepanocladioides","(Müll.Hal.) Kindb."
"Philonotis","Philonotis cernua","(Wilson) D.G.Griffin & W.R.Buck","Philonotis wilsonii","(Bruch & Schimp.) Mitt."
"Trichosteleum","Trichosteleum letestui","P.de la Varde","Trichosteleum letestui","P.de la Varde"
"Cyclodictyon","Cyclodictyon spectabile","Broth.","Cyclodictyon spectabile","Broth."
"Bryum","Bryum pocsii","Bizot","Bryum pocsii","Bizot"
"Dicranella","Dicranella borbonica var. borbonica","","Dicranella borbonica var. borbonica",""
"Lepidopilum","Lepidopilum glaziovii","Hampe","Lepidopilum glaziovii","Hampe"
"Vesicularia","Vesicularia rhynchostegiocarpa","(Broth. & Paris) Broth.","Vesicularia rhynchostegiocarpa","(Broth. & Paris) Broth."
"Bazzania","Bazzania cincinnata","(De Not.) Trevis.","Bazzania cincinnata","(De Not.) Trevis."
"Fissidens","Fissidens pseudoplumosus ssp. pseudoplumosus","","Fissidens pseudoplumosus ssp. pseudoplumosus",""
"Plagiochila","Plagiochila patula var. patula","","Plagiochila patula var. patula",""
"Daltonia","Daltonia hookeriana","U.B.Deshmukh, S.Majumdar & B.C.Ho","Daltonia hookeriana","U.B.Deshmukh, S.Majumdar & B.C.Ho"
"Riccia","Riccia abuensis","Bapna","Riccia abuensis","Bapna"
"Amblystegium","Amblystegium serpens","(Hedw.) Schimp.","Amblystegium serpens","(Hedw.) Schimp."
"Scapania","Scapania subalpina","(Nees ex Lindenb.) Dumort.","Scapania subalpina","(Nees ex Lindenb.) Dumort."
"Scleropodium","Scleropodium cespitans","(Müll.Hal.) L.F.Koch","Scleropodium cespitans","(Müll.Hal.) L.F.Koch"
"Pseudocrossidium","Pseudocrossidium hornschuchianum","(Schultz) R.H.Zander","Pseudocrossidium hornschuchianum","(Schultz) R.H.Zander"
"Orthostichidium","Orthostichidium pentastichum","(Brid.) B.H.Allen & Magill","Pilotrichella pentasticha","(Brid.) Wijk & Margad."
"Campylopus","Campylopus comosus","(Schwägr.) Bosch & Sande Lac.","Campylopus comosus","(Schwägr.) Bosch & Sande Lac."
"Fabronia","Fabronia ciliaris var. polycarpa","(Hook.) W.R.Buck","Fabronia ravenelii","Sull."
"Leiomela","Leiomela deciduifolia","Herzog","Leiomela deciduifolia","Herzog"
"Platygyriella","Platygyriella pringlei","(Cardot) W.R.Buck","Platygyriella pringlei","(Cardot) W.R.Buck"
"Balantiopsis","Balantiopsis bisbifida","(Steph.) Steph.","Balantiopsis bisbifida","(Steph.) Steph."
"Pterigynandrum","Pterigynandrum filiforme","Hedw.","Pterigynandrum filiforme var. majus","(De Not.) De Not."
"Homalothecium","Homalothecium nuttallii","(Wilson) A.Jaeger","Homalothecium nuttallii","(Wilson) A.Jaeger"
"Tetraplodon","Tetraplodon paradoxus","(R.Br.) I.Hagen","Tetraplodon paradoxus","(R.Br.) I.Hagen"
"Ditrichum","Ditrichum rufoaureum","(Hampe) J.H.Willis","Ditrichum rufoaureum","(Hampe) J.H.Willis"
"Frullania","Frullania baladina","Gottsche ex Steph.","Frullania baladina","Gottsche ex Steph."
"Lepidozia","Lepidozia holorhiza","(Reinw., Blume & Nees) Nees","Lepidozia holorhiza","(Reinw., Blume & Nees) Nees"
"Sphagnum","Sphagnum macrophyllum","Bernh. ex Brid.","Sphagnum macrophyllum var. macrophyllum",""
"Leptopterigynandrum","Leptopterigynandrum austroalpinum","Müll.Hal.","Leptopterigynandrum austroalpinum","Müll.Hal."
"Timmiella","Timmiella crassinervis","(Hampe) L.F.Koch","Timmiella crassinervis","(Hampe) L.F.Koch"
"Campylopus","Campylopus anderssonii","(Müll.Hal.) A.Jaeger","Campylopus anderssonii","(Müll.Hal.) A.Jaeger"
"Hookeriopsis","Hookeriopsis crispifolia","(W.R.Buck & M.Wigginton) J.J.Atwood","Hookeriopsis crispifolia","(W.R.Buck & M.Wigginton) J.J.Atwood"
"Ditrichum","Ditrichum conicum","(Mont.) Mitt.","Ditrichum conicum","(Mont.) Mitt."
"Rhynchostegium","Rhynchostegium parvulum","Broth.","Rhynchostegium parvulum","Broth."
"Weissia","Weissia termitidarum","Müll.Hal.","Weissia termitidarum","Müll.Hal."
"Chiloscyphus","Chiloscyphus polyanthos","(L.) Corda","Chiloscyphus polyanthos","Dum."
"Frullania","Frullania brotheri","Steph.","Frullania brotheri","Steph."
"Solenostoma","Solenostoma amoenum","(Lindenb. & Gottsche) R.M.Schust. ex Váňa, Hentschel & Heinrichs","Solenostoma amoenum","(Lindenb. & Gottsche) R.M.Schust. ex Váňa, Hentschel & Heinrichs"
"Riccia","Riccia nigerica","E.W.Jones","Riccia nigerica","E.W.Jones"
"Callicostella","Callicostella pellucida","(Mitt.) A.Jaeger","Callicostella pellucida","(Mitt.) A.Jaeger"
"Riccia","Riccia crassa","Steph.","Riccia crassa","Steph."
"Lejeunea","Lejeunea asperula","(Steph.) Mizut.","Lejeunea asperula","(Steph.) Mizut."
"Hedwigia","Hedwigia filiformis","(Michx.) P.Beauv.","Hedwigidium integrifolium","(P.Beauv.) Dixon ex C.E.O.Jensen"
"Cryptolophocolea","Cryptolophocolea connata","(Sw.) L.Söderstr. & Váňa","Cryptolophocolea connata","(Sw.) L.Söderstr. & Váňa"
"Syzygiella","Syzygiella securifolia","(Nees ex Lindenb.) Inoue","Syzygiella securifolia","(Nees ex Lindenb.) Inoue"
"Grimmia","Grimmia pulvinata","(Hedw.) Sm.","Grimmia hendersonii","Renauld & Cardot"
"Harpalejeunea","Harpalejeunea tenuicuspis","(Spruce) Schiffn.","Harpalejeunea tenuicuspis","(Spruce) Schiffn."
"Ceratodon","Ceratodon conicus","(Hampe ex Müll.Hal.) Lindb.","Ceratodon purpureus var. conicus","(Hampe ex Müll.Hal.) I.Hagen"
"Sarmentypnum","Sarmentypnum pseudosarmentosum","(Cardot & Thér.) Hedenäs","Sarmentypnum pseudosarmentosum","(Cardot & Thér.) Hedenäs"
"Brotherella","Brotherella filiformis","Dixon","Brotherella filiformis","Dixon"
"Rhaphidostegium","Rhaphidostegium conterminum","Renauld & Cardot","Rhaphidostegium conterminum","Renauld & Cardot"
"Orthotrichum","Orthotrichum crassifolium ssp. crassifolium","","Orthotrichum crassifolium ssp. crassifolium",""
"Syrrhopodon","Syrrhopodon elongatus var. elongatus","","Syrrhopodon elongatus var. elongatus",""
"Lejeunea","Lejeunea schusteri","Grolle","Lejeunea schusteri","Grolle"
"Hypnum","Hypnum bicolor","Bél.","Hypnum bicolor","Bél."
"Schistochila","Schistochila integerrima","Steph.","Schistochila integerrima","Steph."
"Lejeunea","Lejeunea trachygona","Spruce","Lejeunea trachygona","Spruce"
"Barbula","Barbula pertorquescens","Broth.","Barbula pertorquescens","Broth."
"Fissidens","Fissidens palmifolius var. palmifolius","","Fissidens palmifolius var. palmifolius",""
"Fabronia","Fabronia schimperiana","De Not.","Fabronia schimperiana","De Not."
"Rhynchostegium","Rhynchostegium ruvenzorense","(Broth.) Paris","Rhynchostegium ruvenzorense","(Broth.) Paris"
"Taxilejeunea","Taxilejeunea suringarii","Steph.","Taxilejeunea suringarii","Steph."
"Riccardia","Riccardia jackii var. densa","Schiffn.","Riccardia jackii var. densa","Schiffn."
"Syrrhopodon","Syrrhopodon meijeri","W.D.Reese","Syrrhopodon meijeri","W.D.Reese"
"Gemmabryum","Gemmabryum radiculosum","(Brid.) J.R.Spence & H.P.Ramsay","Gemmabryum radiculosum","(Brid.) J.R.Spence & H.P.Ramsay"
"Orthodontium","Orthodontium lineare","Schwägr.","Orthodontium lineare","Schwägr."
"Pohlia","Pohlia lutescens","(Limpr.) H.Lindb.","Pohlia lutescens","(Limpr.) H.Lindb."
"Hennediella","Hennediella heimii","(Hedw.) R.H.Zander","Hennediella heimii","(Hedw.) R.H.Zander"
"Fissidens","Fissidens obtusifolius","Wilson","Fissidens obtusifolius","Wilson"
"Macromitrium","Macromitrium tongense","Sull.","Macromitrium tongense","Sull."
"Tortula","Tortula revolvens","(Schimp.) G.Roth","Tortula revolvens","(Schimp.) G.Roth"
"Isopterygium","Isopterygium tenerum","(Sw.) Mitt.","Isopterygium drummondii","H.A.Crum, Steere & L.E.Anderson"
"Ptychostomum","Ptychostomum cernuum","(Hedw.) Hornsch.","Bryum uliginosum","(Brid.) Bruch & Schimp."
"Frullania","Frullania diversitexta","Steph.","Frullania diversitexta","Steph."
"Fuscocephaloziopsis","Fuscocephaloziopsis pleniceps var. caroliniana","(R.M.Schust.) Váňa & L.Söderstr.","Cephalozia pleniceps var. caroliniana","R.M.Schust."
"Isolembidium","Isolembidium anomalum var. cucullatum","(E.A.Hodgs.) J.J.Engel & R.M.Schust.","Isolembidium anomalum var. cucullatum","(E.A.Hodgs.) J.J.Engel & R.M.Schust."
