"acgenus","actaxon","acauth","taxon","auth"
"Didymodon","Didymodon caboverdeanus","J.A.Jiménez & M.J.Cano","Didymodon caboverdeanus","J.A.Jiménez & M.J.Cano"
"Didymodon","Didymodon guangdongensis","(J.Kou & C.Feng) J.A.Jiménez & M.J.Cano","Didymodon guangdongensis","(J.Kou & C.Feng) J.A.Jiménez & M.J.Cano"
"Hymenostylium","Hymenostylium recurvirostrum var. recurvirostrum","","Hymenostylium recurvirostre var. latifolium","(Zett.) Wijk & Margad."
"Amblystegium","Amblystegium arvernense","Thér.","Amblystegium arvernense","Thér."
"Dicranoloma","Dicranoloma hollermayeri","Thér.","Dicranoloma hollermayeri","Thér."
"Rhynchostegium","Rhynchostegium savatieri","Paris","Rhynchostegium savatieri","Paris"
"Weissia","Weissia leptocarpa","Schimp. ex Besch.","Weissia leptocarpa","Schimp. ex Besch."
"Tetraplodon","Tetraplodon mnioides","(Hedw.) Bruch & Schimp.","Tetraplodon mnioides var. brewerianus","(Hedw.) Bruch & Schimp."
"Pterobryopsis","Pterobryopsis cucullatifolia","S.Okamura","Pterobryopsis cucullatifolia","S.Okamura"
"Brachythecium","Brachythecium labradoricum","(Kindb.) Paris","Brachythecium labradoricum","(Kindb.) Paris"
"Sematophyllum","Sematophyllum subsecundum","(A.Jaeger) Broth.","Sematophyllum subsecundum","(A.Jaeger) Broth."
"Lepidopilum","Lepidopilum ultramarginatum","B.H.Allen","Lepidopilum ultramarginatum","B.H.Allen"
"Leucophanes","Leucophanes pucciniferum","Müll.Hal.","Leucophanes pucciniferum","Müll.Hal."
"Aneura","Aneura levieri","Schiffner","Aneura levieri","Schiffner"
"Frullania","Frullania polysticta","Lindenb.","Frullania polysticta","Lindenb."
"Anthoceros","Anthoceros punctatus","L.","Anthoceros punctatus","L."
"Riccia","Riccia fluitans","L.","Riccia fluitans","L."
"Ptychostomum","Ptychostomum weigelii","(Biehler) J.R.Spence","Ptychostomum weigelii","(Biehler) J.R.Spence"
"Fossombronia","Fossombronia longiseta","(Austin) Austin","Fossombronia longiseta","(Austin) Austin"
"Fossombronia","Fossombronia wondraczekii","(Corda) Dumort. ex Lindb.","Fossombronia wondraczekii","(Corda) Dumort. ex Lindb."
"Fissidens","Fissidens intramarginatus","(Hampe) A.Jaeger","Fissidens intramarginatus","(Hampe) A.Jaeger"
"Sarmentypnum","Sarmentypnum procerum","(Renauld & Arnell) Hedenäs","Sarmentypnum procerum","(Renauld & Arnell) Hedenäs"
"Vinealobryum","Vinealobryum brachyphyllum","(Sull.) R.H.Zander","Didymodon brachyphyllus","(Sull.) R.H.Zander"
"Mesoptychia","Mesoptychia collaris","(Nees) L.Söderstr. & Váňa","Lophozia alpestris","(Schleich. ex F.Weber) A.Evans"
"Thysananthus","Thysananthus repletus","(Taylor) Sukkharak & Gradst.","Thysananthus repletus","(Taylor) Sukkharak & Gradst."
"Cyclodictyon","Cyclodictyon aubertii","(P.Beauv.) Kuntze","Cyclodictyon aubertii","(P.Beauv.) Kuntze"
"Hylocomiadelphus","Hylocomiadelphus triquetrus","(Hedw.) Ochyra & Stebel","Rhytidiadelphus triquetrus","(Hedw.) Warnst."
"Amblyodon","Amblyodon dealbatus","(Hedw.) P.Beauv.","Amblyodon dealbatus","(Hedw.) Bruch & Schimp."
"Molendoa","Molendoa sendtneriana","(Bruch & Schimp.) Limpr.","Anoectangium sendtnerianum","Bruch & Schimp."
"Fissidens","Fissidens pallidinervis","Mitt.","Fissidens pallidinervis","Mitt."
"Heteroscyphus","Heteroscyphus planus","(Mitt.) Schiffn.","Heteroscyphus planus","(Mitt.) Schiffn."
"Octoblepharum","Octoblepharum cylindricum","Schimp. ex Mont.","Octoblepharum cylindricum","Schimp. ex Mont."
"Syrrhopodon","Syrrhopodon tosaensis","Cardot","Syrrhopodon tosaensis","Cardot"
"Leucodon","Leucodon pendulus","Lindb.","Leucodon pendulus","Lindb."
"Andreaea","Andreaea rupestris","Hedw.","Andreaea petrophila","Ehrh. ex Fürnr."
"Monoclea","Monoclea gottschei","Lindb.","Monoclea gottschei","Lindb."
"Plagiochila","Plagiochila cleefii","Inoue","Plagiochila cleefii","Inoue"
"Diplasiolejeunea","Diplasiolejeunea pusilla","Grolle","Diplasiolejeunea pusilla","Grolle"
"Frullania","Frullania eboracensis","Gottsche","Frullania eboracensis","Gottsche"
"Lejeunea","Lejeunea cochleata","Spruce","Lejeunea cochleata","Spruce"
"Fissidens","Fissidens linearis var. angustifolius","(Dixon) I.G.Stone","Fissidens linearis var. angustifolius","(Dixon) I.G.Stone"
"Grimmia","Grimmia arcuatifolia","Kindb.","Grimmia arcuatifolia","Kindb."
"Porella","Porella brachiata","(Taylor) Spruce","Porella brachiata","(Taylor) Spruce"
"Megaceros","Megaceros tjibodensis","Campb.","Megaceros tjibodensis","Campb."
"Sphagnum","Sphagnum rubellum","Wilson","Sphagnum tenellum","(Schimp.) H.Klinggr."
"Campylopus","Campylopus subcuspidatus var. subcuspidatus","","Campylopus subcuspidatus var. subcuspidatus",""
"Wijkia","Wijkia protensa","(Renauld & Cardot) H.A.Crum","Wijkia protensa","(Renauld & Cardot) H.A.Crum"
"Polytrichum","Polytrichum juniperellum","Müll.Hal.","Polytrichum juniperellum","Müll.Hal."
"Lophocolea","Lophocolea parvistipula","Steph.","Lophocolea parvistipula","Steph."
"Porella","Porella gracillima var. gracillima","","Porella gracillima var. gracillima",""
"Frullania","Frullania standaertii","Steph.","Frullania standaertii","Steph."
"Lejeunea","Lejeunea luzonensis","(Steph.) R.L.Zhu & M.J.Lai","Lejeunea luzonensis","(Steph.) R.L.Zhu & M.J.Lai"
"Mittenothamnium","Mittenothamnium versipoma","(Hampe) Cardot","Mittenothamnium versipoma","(Hampe) Cardot"
"Macromitrium","Macromitrium crenulatum","Hampe","Macromitrium crenulatum","Hampe"
"Myriocoleopsis","Myriocoleopsis minutissima","(Sm.) R.L.Zhu, Y.Yu & Pócs","Cololejeunea minutissima","(Sm.) Steph."
"Gertrudiella","Gertrudiella uncinicoma","(Müll.Hal.) G.M.Suárez & Schiavone","Gertrudiella uncinicoma","(Müll.Hal.) G.M.Suárez & Schiavone"
"Andreaea","Andreaea heinemannii","Hampe & Müll.Hal.","Andreaea crassinervia var. obtusifolia","Berggr."
"Phaeoceros","Phaeoceros carolinianus","(Michx.) Prosk.","Anthoceros laevis var. tenuis","(Nees) Gottsche, Lindenb. & Nees"
"Trichosteleum","Trichosteleum schlimii","(Müll.Hal.) R.S.Williams","Trichosteleum schlimii","(Müll.Hal.) R.S.Williams"
"Plagiothecium","Plagiothecium formosicum var. rectiapex","D.K.Li","Plagiothecium formosicum var. rectiapex","D.K.Li"
"Wijkia","Wijkia baculifera","(Dixon) H.A.Crum","Wijkia baculifera","(Dixon) H.A.Crum"
"Frullania","Frullania magniloba","Casp.","Frullania magniloba","Casp."
"Riccardia","Riccardia singapurensis","Schiffn.","Riccardia singapurensis","Schiffn."
"Radula","Radula fendleri","Gottsche","Radula fendleri","Gottsche"
"Taxithelium","Taxithelium uematsui","Broth. ex Iisiba","Taxithelium uematsui","Broth. ex Iisiba"
"Lejeunea","Lejeunea hibernica","Bischl., H.A.Mill. & Bonner ex Grolle","Lejeunea hibernica","Bischl., H.A.Mill. & Bonner ex Grolle"
"Herzogiella","Herzogiella seligeri","(Brid.) Z.Iwats.","Herzogiella seligeri","(Brid.) Z.Iwats."
"Tortula","Tortula solmsii","(Schimp.) Limpr.","Tortula solmsii","(Schimp.) Limpr."
"Trichocolea","Trichocolea tomentella","(Ehrh.) Dumort.","Trichocolea tomentella","(Ehrh.) Dumort."
"Ceratodon","Ceratodon conicus","(Hampe ex Müll.Hal.) Lindb.","Ceratodon dimorphus","H.Philib."
"Isotachis","Isotachis aubertii","(Schwägr.) Mitt.","Isotachis aubertii","(Schwägr.) Mitt."
