"ELEMENT_GLOBAL_ID","LINKAGE","SUBNATION_ID","stateCode","stateName","stateName2","stateRank","REL_STD_TO_NONSTD_CD","REL_NONSTD_TO_STD_CD","CONFIDENCEDESC","crosswalkNote"
768704,"1 direct",58,"CEGL006305","[gname]","<i>Salix sericea</i> Shrub Swamp","S2S3",":=",":=","Certain",""
685928,"1 direct",11,"CEGL006307","Atlantic White Cedar/Seaside Alder Swamp","Atlantic White Cedar/Seaside Alder Swamp","S1",":=",":=","Certain","Woodland in which Atlantic White Cedar (<i>Chamaecyparis thyoides</i>) and seaside alder (<i>Alnus maritima</i>) are co-dominant."
685928,"1 direct",25,"CEGL006307","[gname]","<i>Chamaecyparis thyoides / Alnus maritima ssp. maritima</i> Swamp Woodland","SNR",":=",":=","Certain",""
790558,"1 direct",11,"CEGL006317","Red Maple-Seaside Alder Woodland","Red Maple-Seaside Alder Woodland","S3",":=",":=","Certain","Saturated woodland with a co-dominance of red maple (<i>Acer rubrum</i>) and seaside alder (<i>Alnus maritima</i>)."
683227,"1 direct",14,"CEGL006327","[gname]","<i>Pinus echinata</i> Ruderal Forest","SNA",":=",":=","Certain",""
683904,"1 direct",69,"CEGL006331","<i>Carex (interior, hystericina, flava) - Trichophorum alpinum / Campylium stellatum</i> Herbaceous Vegetation","<i>Carex (interior, hystericina, flava) - Trichophorum alpinum / Campylium stellatum</i> Herbaceous Vegetation","SNA",":=",":=","Certain",""
687945,"1 direct",38,"CEGL006332","<i>Cladium mariscoides - Coelorachis rugosa</i> Herbaceous Vegetation","<i>Cladium mariscoides - Coelorachis rugosa</i> Herbaceous Vegetation","S1",":=",":=","Certain","Moved EST here from CENJ006332 (KLS 2019-06-08)."
687945,"1 direct",11,"CEGL006332","Cape May-Delmarva Depression Meadow","Cape May-Delmarva Depression Meadow","S1",":=",":=","Certain",""
791002,"1 direct",38,"CEGL006333","<i>Schizachyrium scoparium - (Andropogon virginicus) - Solidago</i> spp. Ruderal Herbaceous Vegetation","<i>Schizachyrium scoparium - (Andropogon virginicus) - Solidago</i> spp. Ruderal Herbaceous Vegetation","SNA",":=",":=","Certain",""
791002,"1 direct",45,"CEGL006333","[gname]","<i>Schizachyrium scoparium - (Andropogon virginicus) - Solidago</i> spp. Ruderal Meadow","SNA",":=",":=","Certain",""
684398,"1 direct",69,"CEGL006337","<i>Alnus (incana ssp. rugosa, serrulata) - Cornus amomum</i> Shrubland","<i>Alnus (incana ssp. rugosa, serrulata) - Cornus amomum</i> Shrubland","SNA",":=",":=","Certain",""
684398,"1 direct",11,"CEGL006337","North Atlantic Fresh Tidal Shrub Swamp","North Atlantic Fresh Tidal Shrub Swamp","S1",":=",":=","Certain",""
684398,"1 direct",25,"CEGL006337","[gname]","<i>Alnus (incana ssp. rugosa, serrulata) - Cornus amomum</i> Tidal Shrub Swamp","S4",":=",":=","Certain",""
689661,"1 direct",11,"CEGL006338","Maidencane Pondshore","Maidencane Pondshore","SNR",":=",":=","Certain",""
689661,"1 direct",25,"CEGL006338","[gname]","<i>Panicum hemitomon - Panicum verrucosum</i> Marsh","SNR",":=",":=","Certain",""
689661,"1 direct",38,"CEGL006338","<i>Panicum hemitomon</i> herbaceous vegetation","<i>Panicum hemitomon</i> herbaceous vegetation","S1S2",":=",":=","Certain","Moved EST here from CENJ006338 (KLS 2019-06-08)."
688128,"1 direct",38,"CEGL006342","<i>Spartina patens - Eleocharis parvula</i> Herbaceous Vegetation","<i>Spartina patens - Eleocharis parvula</i> Herbaceous Vegetation","S1S2",":=",":=","Certain",""
688128,"1 direct",69,"CEGL006342","<i>Spartina patens - Eleocharis parvula</i> Herbaceous Vegetation","<i>Spartina patens - Eleocharis parvula</i> Herbaceous Vegetation","SNA",":=",":=","Certain",""
688128,"1 direct",53,"CEGL006342","<i>Spartina patens - (Bolboschoenus robustus)</i> Herbaceous Vegetation","<i>Spartina patens - (Bolboschoenus robustus)</i> Herbaceous Vegetation","S2?",":=",":=","Certain",""
688128,"1 direct",25,"CEGL006342","[gname]","<i>Spartina patens - Eleocharis parvula</i> Marsh","SNR",":=",":=","Certain",""
687973,"1 direct",38,"CEGL006349","<i>Scirpus cyperinus</i> Seasonally Flooded Herbaceous Vegetation","<i>Scirpus cyperinus</i> Seasonally Flooded Herbaceous Vegetation","SNR",":=",":=","Certain",""
687973,"1 direct",69,"CEGL006349","<i>Scirpus cyperinus</i> Seasonally Flooded Herbaceous Vegetation","<i>Scirpus cyperinus</i> Seasonally Flooded Herbaceous Vegetation","SNA",":=",":=","Certain",""
687973,"1 direct",11,"CEGL006349","Woolgrass Marsh","Woolgrass Marsh","SNR",":=",":=","Certain",""
687973,"1 direct",25,"CEGL006349","[gname]","<i>Scirpus cyperinus</i> Wet Meadow","SNR",":=",":=","Certain",""
687973,"1 direct",45,"CEGL006349","[gname]","<i>Scirpus cyperinus</i> Wet Meadow","S4",":=",":=","Certain",""
687973,"1 direct",58,"CEGL006349","[gname]","<i>Scirpus cyperinus</i> Wet Meadow","S3",":=",":=","Certain",""
687972,"1 direct",53,"CEGL006350","<i>Bacopa monnieri - Eleocharis albida</i> Herbaceous Vegetation","<i>Bacopa monnieri - Eleocharis albida</i> Herbaceous Vegetation","S1",":=",":=","Certain",""
687578,"1 direct",69,"CEGL006352","<i>Eriocaulon parkeri - Polygonum punctatum var. parvum</i> Herbaceous Vegetation","<i>Eriocaulon parkeri - Polygonum punctatum var. parvum</i> Herbaceous Vegetation","SNA",":=",":=","Certain",""
687578,"1 direct",11,"CEGL006352","Estuary Pipewort Freshwater Intertidal Flat","Estuary Pipewort Freshwater Intertidal Flat","SNR",":=",":=","Certain",""
687578,"1 direct",53,"CEGL006352","<i>Eriocaulon parkeri - Persicaria punctata</i> Tidal Herbaceous Vegetation","<i>Eriocaulon parkeri - Persicaria punctata</i> Tidal Herbaceous Vegetation","SU",":=",":=","Certain","This is a provisional VA type"
687578,"1 direct",25,"CEGL006352","[gname]","<i>Eriocaulon parkeri - Polygonum punctatum</i> Tidal Marsh","S2",":=",":=","Certain",""
686760,"1 direct",38,"CEGL006358","<i>Schoenoplectus acutus</i> herbaceous vegetation","<i>Schoenoplectus acutus</i> herbaceous vegetation","S3",":=",":=","Certain","Moved EST here from CENJ006911 (KLS 2019-06-08)."
686760,"1 direct",69,"CEGL006358","<i>Schoenoplectus acutus - Carex lasiocarpa</i> Herbaceous Vegetation","<i>Schoenoplectus acutus - Carex lasiocarpa</i> Herbaceous Vegetation","SNA",":=",":=","Certain",""
684198,"1 direct",69,"CEGL006365","<i>Spartina patens - Agrostis stolonifera</i> Herbaceous Vegetation","<i>Spartina patens - Agrostis stolonifera</i> Herbaceous Vegetation","SNA",":=",":=","Certain",""
685318,"1 direct",38,"CEGL006367","<i>Juniperus virginiana / Betula pumila / Carex sterilis - Oligoneuron rigidum</i> Shrub Herbaceous Vegetation","<i>Juniperus virginiana / Betula pumila / Carex sterilis - Oligoneuron rigidum</i> Shrub Herbaceous Vegetation","S1",":=",":=","Certain","Moved EST here from CENJ006367 (KLS 2019-06-08). EASTERN RED-CEDAR / BOG BIRCH / STERILE SEDGE - BOLD GOLDENROD SHRUB HERBACEOUS VEGETATION RIGID SEDGE"
687568,"1 direct",69,"CEGL006368","<i>Spartina patens - Festuca rubra - (Spartina pectinata)</i> Herbaceous Vegetation","<i>Spartina patens - Festuca rubra - (Spartina pectinata)</i> Herbaceous Vegetation","S3S4",":=",":=","Certain",""
687881,"1 direct",69,"CEGL006370","<i>Ruppia maritima - Schoenoplectus maritimus</i> Herbaceous Vegetation","<i>Ruppia maritima - Schoenoplectus maritimus</i> Herbaceous Vegetation","SNA",":=",":=","Certain",""
685525,"1 direct",11,"CEGL006371","Blueberry Wetland Thicket","Blueberry Wetland Thicket","S1",":=",":=","Certain",""
686109,"1 direct",38,"CEGL006383","<i>Pinus rigida</i>-(<i>P. echinata</i>)-<i>Quercus</i> spp./<i>Quercus</i> (<i>marilandica, ilicifolia</i>) woodland","<i>Pinus rigida</i>-(<i>P. echinata</i>)-<i>Quercus</i> spp./<i>Quercus</i> (<i>marilandica, ilicifolia</i>) woodland","S3",":=",":=","Certain","Moved EST here from CENJ006383 (KLS 2019-06-08). Different sub-types of POw can have many different combinations of tree oaks, including Quercus stellata, velutina, coccinea, prinus and/or alba. Rarely tree-form blackjack oak on very clayey sites. POw1 has both pine species with post oak, POw2 has both pine species with a mixture of tree oaks, POw5 has pitch pine and post oak, POw6 has pitch pine and a mix of oaks, POw7 has pitch pine, black & post oak, POw8 has pitch pine and arborescent blackjack oak, sometimes mixed with other tree oaks. All sub-types have at least 5-25% cover of shrub oaks (shrub-form blackjack oak and/or scrub oak). POw5 often has 50-100% shrub oak cover due to thinner tree oak cover."
688056,"1 direct",69,"CEGL006386","<i>Quercus bicolor - Acer rubrum / Carpinus caroliniana</i> Forest","<i>Quercus bicolor - Acer rubrum / Carpinus caroliniana</i> Forest","S2?",":=",":=","Certain",""
683317,"1 direct",11,"CEGL006400","Deep Muck Coastal Plain Pond","Deep Muck Coastal Plain Pond","S1",":=",":=","Certain",""
683317,"1 direct",38,"CEGL006400","<i>Eleocharis (olivacea, microcarpa, robbinsii) - Xyris (difformis var. difformis, smalliana)</i> herbaceous vegetation","<i>Eleocharis (olivacea, microcarpa, robbinsii) - Xyris (difformis var. difformis, smalliana)</i> herbaceous vegetation","S2",":=",":=","Certain","Moved EST here from CENJ006921 (KLS 2019-06-08)."
690011,"1 direct",38,"CEGL006412","<i>(Myrica gale) / Carex stricta</i> Seasonally Flooded Herbaceous Vegetation","<i>(Myrica gale) / Carex stricta</i> Seasonally Flooded Herbaceous Vegetation","SNR",":=",":=","Certain",""
690011,"1 direct",69,"CEGL006412","<i>Carex stricta - Carex vesicaria</i> Herbaceous Vegetation","<i>Carex stricta - Carex vesicaria</i> Herbaceous Vegetation","SNA",":=",":=","Certain",""
690011,"1 direct",58,"CEGL006412","<i>Carex stricta</i> Wet Meadow","<i>Carex stricta</i> Wet Meadow","S3",":=",":=","Certain",""
690011,"1 direct",11,"CEGL006412","Eastern Tussock Sedge Meadow","Eastern Tussock Sedge Meadow","SNA",":=",":=","Certain",""
690011,"1 direct",25,"CEGL006412","[gname]","<i>Carex stricta - Carex vesicaria</i> Wet Meadow","SNR",":=",":=","Certain",""
690011,"1 direct",45,"CEGL006412","[gname]","<i>Carex stricta - Carex vesicaria</i> Wet Meadow","S4",":=",":=","Certain","2023-11-01: Old PA type CHWPTUS000 (Tussock Sedge Marsh) deleted, 2 EOR reparented to this EST. SCOMNAME updated to Tussock Sedge Marsh (U22ZIM01)."
684603,"1 direct",11,"CEGL006415","Coastal Plain Pondshore","Coastal Plain Pondshore","SNR",":=",":=","Certain",""
686082,"1 direct",11,"CEGL006418","Mesohaline Seepage Marsh","Mesohaline Seepage Marsh","S1",":=",":=","Certain","This global concept now also includes Central Atlantic Brackish Marsh, <i>Spartina alterniflora-Amaranthus cannabinus</i> Herbaceous Vegetation (CEGL006417), which was determined to represent the same community as this one. This change in the global concept may require a re-evaluation of the Delaware types and their granks."
686082,"1 direct",25,"CEGL006418","[gname]","<i>Spartina alterniflora - Polygonum punctatum - Amaranthus cannabinus</i> Salt Marsh","SNR",":=",":=","Certain",""
689437,"1 direct",45,"CEGL006431","[gname]","<i>Elodea canadensis - Potamogeton</i> spp. Eastern Aquatic Vegetation","S2",":=",":=","Certain",""
787695,"1 direct",45,"CEGL006441","[gname]","<i>Sorghastrum nutans - Schizachyrium scoparium</i> Serpentine Grassland","S1",":=",":=","Certain",""
787699,"1 direct",25,"CEGL006442","<i>Pinus rigida / Schizachyrium scoparium - Scleria pauciflora</i> Wooded Herbaceous Vegetation","<i>Pinus rigida / Schizachyrium scoparium - Scleria pauciflora</i> Wooded Herbaceous Vegetation","S2",":=",":=","Certain",""
787699,"1 direct",45,"CEGL006442","[gname]","<i>Schizachyrium scoparium - Sporobolus heterolepis</i> Serpentine Grassland","S1",":=",":=","Certain",""
791579,"1 direct",38,"CEGL006446","<i>Bidens cernua - Verbena hastata - Polygonum</i> spp. Herbaceous Vegetation [Provisional]","<i>Bidens cernua - Verbena hastata - Polygonum</i> spp. Herbaceous Vegetation [Provisional]","SNR",":=",":=","Certain",""
791579,"1 direct",45,"CEGL006446","[gname]","<i>Bidens cernua - Verbena hastata - Polygonum</i> spp. Marsh","S4",":=",":=","Certain",""
