"ELEMENT_GLOBAL_ID","REFERENCE_ID"
688597,192906
688597,195765
687545,181060
689676,181492
689676,667283
686870,182970
686815,181492
685136,473037
685136,646797
689543,722172
687563,646797
685965,181492
685965,645765
683982,181852
687016,181797
684191,187001
684313,181873
685908,183275
685908,184460
683235,198190
689097,181852
689097,184460
684242,181797
688333,189355
683120,179454
683395,181852
683395,830014
688092,197850
688092,198274
689280,176226
689280,190387
689280,1009324
690033,175699
690033,181950
690033,184664
690033,185568
690033,185973
690033,194484
690033,199046
683460,184201
683460,321625
683460,1009323
686298,178045
686298,181797
686298,181932
686298,184201
686298,184460
686298,712642
689172,667324
686202,180204
686202,185568
686202,186362
686202,187001
686202,195278
686202,342646
686202,671245
689727,201226
685518,194484
688785,181797
683264,184329
683264,189580
683264,190067
683264,190538
683264,1009324
689096,181764
685332,180204
685332,199046
685332,659469
685332,671263
685127,187315
685127,191478
688173,184460
685034,177658
685034,184664
685034,194646
685034,377435
685034,642058
685034,712642
687498,179532
687497,181171
687497,181502
687497,186362
687497,659469
683635,178224
683635,195278
685651,181627
685651,181764
685651,184460
685651,187771
685651,192649
685651,194789
685651,645800
685651,820424
686824,187833
686824,194789
683981,181852
683981,197474
686391,181852
684286,180023
684286,181852
685909,181797
685909,192649
685909,342646
689391,190387
684186,181797
684187,178045
684187,184201
684187,191295
684187,194665
684187,194828
684187,712642
684187,1009334
683370,181797
683370,645765
689011,194484
686686,184460
686686,192650
686847,184460
687499,184460
687499,191139
685481,175855
685481,178630
685481,181852
685481,195278
685481,199046
685481,294077
688842,189355
688842,342646
689265,195278
689265,342646
685914,182970
689354,468699
689354,645701
687798,176422
687798,177644
684873,374772
684873,620627
684873,659481
686044,182803
688348,177280
688955,177280
688955,188172
689988,758022
688606,182624
688606,468699
688606,646792
687760,181985
687760,266597
687760,659450
686217,758022
683533,176422
683533,848333
688963,649776
684099,181233
684099,287719
684099,468699
684099,508413
685002,667283
688245,181060
688376,178774
686787,178774
685147,182100
686533,176422
686533,180287
686533,287719
686533,468699
686533,645701
688375,199040
688375,374772
688827,186267
688827,646792
688827,671235
688827,792456
683898,182841
683435,792456
685818,848333
688339,176422
688339,179232
688204,178966
688204,194660
688204,641997
687681,620627
689294,186434
683710,184019
683710,190159
683710,192588
684257,181060
684257,182314
684257,194660
688089,181492
688089,183709
688089,184462
688976,181060
688976,181492
688976,196203
688976,659466
688976,659468
688976,668151
688976,707495
688976,707499
687817,176083
687817,177860
687817,182755
687817,189425
689830,182803
689830,188368
689830,188457
689830,195511
687978,957846
684629,182803
684629,649736
683939,667966
683939,668107
683939,957846
683599,181797
689620,181797
684420,179112
684420,182283
688207,199046
684258,659481
687758,181797
687758,820428
683658,181797
683658,184460
684325,184460
686353,184460
686952,190210
689946,176905
684703,184460
688177,184460
686932,199046
686932,659460
686932,667321
687144,199040
687144,374772
684974,178774
684974,667764
685686,707494
686197,194840
688643,184460
688643,659469
685933,667764
689306,659456
689493,184460
687509,184460
686139,184695
686139,722172
689568,184460
689568,646797
684029,183275
686317,187179
688104,178432
685491,178774
683417,192472
683417,199046
684240,199222
684087,621532
684087,643742
684087,671251
684172,200749
688042,176905
686639,184460
686639,194840
688537,176905
688537,187625
688537,340416
689510,190210
684356,194840
689780,181950
689780,199856
686599,178224
686599,186362
686163,181797
686163,183084
686163,199046
686163,200591
684357,184460
689782,178160
686603,184460
686603,659456
686162,176386
686162,200873
686162,659455
689360,176273
684241,194840
688969,199513
689613,194840
686354,187179
686354,189420
686354,197262
686354,198274
686354,505300
689004,184460
689004,199513
683750,190505
683750,642058
683751,184460
689484,184460
689484,199513
684055,642312
689123,184460
689123,712643
689123,712645
686795,182901
686519,184552
683866,187426
683866,198303
686864,181797
684037,180190
684037,185652
687927,181492
683221,181797
683730,473037
686310,667329
684734,177076
684734,820424
687119,992763
684973,183959
685359,184460
685359,198664
685359,820424
685648,646797
686311,185492
686311,463797
686311,468718
685338,183917
685338,505286
686627,181797
686627,181873
690080,181797
688527,177346
688527,182408
942452,175357
942452,176873
942452,181873
690034,463797
685730,181873
685730,188303
688567,820424
688568,650542
683980,179532
683980,183144
683980,184460
685819,197586
685819,215407
685819,659455
683759,178990
683759,181852
683759,657112
683716,181797
683716,184201
687071,177658
687071,178045
687071,194665
684394,181797
684394,280000
684989,187315
942445,184190
942445,186325
687684,181797
687684,181852
683787,188595
683787,194350
686041,181797
685103,187315
688877,342646
685913,646797
689426,671245
689426,1009323
689426,1009331
685379,178432
688414,183275
688414,188612
688414,190602
686319,187315
686319,188831
689246,184460
688075,194763
688075,198786
686371,187426
686371,722171
688547,184460
688547,190387
684460,712642
688247,659456
688310,187801
687474,181764
687474,193911
687474,198664
687474,342646
685645,181852
685645,184460
685778,190602
685778,659456
685778,662599
686581,184460
683332,510010
683332,722173
685706,184460
687885,200351
685501,181438
685501,184460
684966,186807
684966,187315
688144,200351
685445,194609
687805,176422
687805,645701
685135,181492
685135,196203
685135,262694
686440,181060
686440,182803
689444,182822
689444,190544
689444,722230
685263,668151
689579,181060
689521,641997
683798,176422
685460,199046
688065,181060
684284,181797
684698,198303
683530,198543
688174,181797
688174,646797
688872,181797
688872,185610
686472,181797
688100,181797
687341,181797
688944,176644
688944,287719
688944,848333
684778,646797
683694,667321
685459,181797
685459,198731
685459,1009342
686591,181797
686591,182970
687874,194660
684419,181797
684419,184460
683251,187426
687737,189536
689852,178115
689852,181503
689852,190629
689852,191186
683319,181869
683319,193443
683917,182970
683917,194660
684697,178328
684697,181797
684697,181885
684766,179360
684767,659463
685113,179245
685113,707494
685113,994680
686417,197262
687869,178332
687869,181797
687869,201500
687869,707494
689932,191784
689012,183144
689012,197745
689013,181797
688184,181797
689592,181797
688350,667216
687558,181750
687558,187091
685138,182647
683175,181019
683175,188720
689462,646797
689681,473037
683512,473037
686304,194660
688157,180971
688157,194660
684332,182795
684332,943946
688319,645540
688319,656662
688319,657054
683064,196928
683064,645540
683064,656662
684876,645540
687266,182827
689584,178504
689584,181171
689584,645800
687938,187748
687938,189198
687938,200873
687510,668165
685340,649735
685340,667968
689586,182798
687167,181492
687167,678069
688573,181492
689734,176422
686107,192831
686107,195752
685887,181492
685887,810389
685467,182792
685467,182818
685467,199164
685467,374772
685467,820418
683458,181492
687931,178124
687931,195066
685756,722044
683742,178774
683742,192441
683742,199164
683335,193604
685314,194660
686716,463885
683871,186267
683871,187927
683871,194773
683871,649735
683871,957846
689678,179959
689678,190253
685557,175791
689416,182647
689416,194660
689416,641997
683390,181492
684592,181492
688114,668151
685712,196203
683906,182314
683906,190729
