"ELEMENT_GLOBAL_ID","PREDECESSOR_ID","predecessorCode","predecessorName","predecessorSciName","predecessorColloquialName","lineageDate","lineageNote","lineageAuthorizedBy"
1299012,860259,"F024","Tropical Scrub & Herb Coastal Vegetation","Tropical Scrub & Herb Coastal Vegetation Formation","Tropical Scrub & Herb Coastal Vegetation",2024-01-23 12:00:00,"","D. Faber-Langendoen"
1299022,860259,"F024","Tropical Scrub & Herb Coastal Vegetation","Tropical Scrub & Herb Coastal Vegetation Formation","Tropical Scrub & Herb Coastal Vegetation",2024-01-23 12:00:00,"","D. Faber-Langendoen"
1299021,860259,"F024","Tropical Scrub & Herb Coastal Vegetation","Tropical Scrub & Herb Coastal Vegetation Formation","Tropical Scrub & Herb Coastal Vegetation",2024-01-23 12:00:00,"","D. Faber-Langendoen"
1299006,860247,"F030","Tropical Freshwater Marsh, Wet Meadow & Shrubland","Tropical Freshwater Marsh, Wet Meadow & Shrubland Formation","Tropical Freshwater Marsh, Wet Meadow & Shrubland",2024-01-23 12:00:00,"merge of 2.C.3 and 2.C.4","D. Faber-Langendoen"
1298997,860272,"F037","Temperate & Boreal Alpine Tundra","Temperate &amp; Boreal Alpine Tundra Formation","Temperate & Boreal Alpine Tundra",2024-01-23 12:00:00,"largely equivalent","D. Faber-Langendoen"
1299020,877225,"F053","Benthic Macroalgae Saltwater Vegetation","Benthic Macroalgae Saltwater Vegetation Formation","Benthic Macroalgae Saltwater Vegetation",2024-01-23 12:00:00,"split of 5.A","D. Faber-Langendoen"
1299019,877225,"F053","Benthic Macroalgae Saltwater Vegetation","Benthic Macroalgae Saltwater Vegetation Formation","Benthic Macroalgae Saltwater Vegetation",2024-01-23 12:00:00,"split of 5.A","D. Faber-Langendoen"
1299018,877225,"F053","Benthic Macroalgae Saltwater Vegetation","Benthic Macroalgae Saltwater Vegetation Formation","Benthic Macroalgae Saltwater Vegetation",2024-01-23 12:00:00,"split of 5.A","D. Faber-Langendoen"
1299017,877225,"F053","Benthic Macroalgae Saltwater Vegetation","Benthic Macroalgae Saltwater Vegetation Formation","Benthic Macroalgae Saltwater Vegetation",2024-01-23 12:00:00,"split of 5.A","D. Faber-Langendoen"
1298967,860226,"S09","Saltwater Aquatic Vegetation","Saltwater Aquatic Vegetation Subclass","Saltwater Aquatic Vegetation",2024-01-23 12:00:00,"","D. Faber-Langendoen"
1298956,860231,"S16","Tropical High Montane Scrub & Grassland","Tropical High Montane Scrub & Grassland Subclass","Tropical High Montane Scrub & Grassland",2024-01-23 12:00:00,"","D. Faber-Langendoen"
1298956,860219,"S01","Tropical Grassland, Savanna & Shrubland","Tropical Grassland, Savanna & Shrubland Subclass","Tropical Grassland, Savanna & Shrubland",2024-01-23 12:00:00,"","D. Faber-Langendoen"
1298947,860219,"S01","Tropical Grassland, Savanna & Shrubland","Tropical Grassland, Savanna & Shrubland Subclass","Tropical Grassland, Savanna & Shrubland",2024-01-23 12:00:00,"","D. Faber-Langendoen"
1298946,860219,"S01","Tropical Grassland, Savanna & Shrubland","Tropical Grassland, Savanna & Shrubland Subclass","Tropical Grassland, Savanna & Shrubland",2024-01-23 12:00:00,"","D. Faber-Langendoen"
1298968,860219,"S01","Tropical Grassland, Savanna & Shrubland","Tropical Grassland, Savanna & Shrubland Subclass","Tropical Grassland, Savanna & Shrubland",2024-01-23 12:00:00,"","D. Faber-Langendoen"
1298964,860219,"S01","Tropical Grassland, Savanna & Shrubland","Tropical Grassland, Savanna & Shrubland Subclass","Tropical Grassland, Savanna & Shrubland",2024-01-23 12:00:00,"","D. Faber-Langendoen"
1298929,860219,"S01","Tropical Grassland, Savanna & Shrubland","Tropical Grassland, Savanna & Shrubland Subclass","Tropical Grassland, Savanna & Shrubland",2024-01-23 12:00:00,"largely equivalent","D. Faber-Langendoen"
1089379,871049,"A0524","Pinus rigida Woodland Alliance","<i>Pinus rigida</i> Woodland Alliance","Northern Pitch Pine Barrens",2019-01-24 12:00:00,"","D. Faber-Langendoen"
971941,899387,"A3263","Hymenoclea salsola - Salazaria mexicana - Lycium andersonii Northern Mojave Desert Wash Alliance","<i>Hymenoclea salsola - Salazaria mexicana - Lycium andersonii</i> Northern Mojave Desert Wash Alliance","Northern Mojave Burrobrush - Mexican Bladdersage - Water Jacket Desert Wash",2016-11-11 12:00:00,"","K. Schulz"
899517,899599,"A3476","Panicum virgatum Southern Interior Marsh Alliance","<i>Panicum virgatum</i> Southern Interior Marsh Alliance","Southern Interior Switchgrass Depression Pond Marsh",2019-02-05 12:00:00,"","D. Faber-Langendoen"
1298984,860254,"F017","Tropical Montane Grassland & Shrubland","Tropical Montane Grassland & Shrubland Formation","Tropical Montane Grassland & Shrubland",2024-01-23 12:00:00,"","D. Faber-Langendoen"
1207718,1167508,"CM744","Acadian Temperate Forest","Acadian Temperate Forest","Acadian Temperate Forest",2025-04-21 12:00:00,"CNVC type merged into its IVC counterpart","D.Faber-Langendoen"
979484,685024,"CEGL002670","Thuja plicata - Tsuga heterophylla / Lysichiton americanus Swamp Forest","<i>Thuja plicata - Tsuga heterophylla / Lysichiton americanus</i> Swamp Forest","",2017-01-17 12:00:00,"","Coastal Correlation"
1344238,872774,"G646","Boreal Subalpine Woodland","<i>Picea glauca - Vaccinium uliginosum - Empetrum nigrum</i> Boreal Subalpine Woodland Group","Boreal Subalpine Woodland",2025-03-05 12:00:00,"","D. Faber-Langendoen"
