"actaxon","acauth","taxon","auth","genus","kingdom","phylum","class","order","family","type"
"Nephromopsis subalpina","(Imshaug) Divakar, A.Crespo & Lumbsch","Cetraria arborealis","(G.K.Merr.) G.E.Howard","Nephromopsis","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Nephromopsis subalpina","(Imshaug) Divakar, A.Crespo & Lumbsch","Cetraria subalpina","Imshaug","Nephromopsis","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Nephromopsis subalpina","(Imshaug) Divakar, A.Crespo & Lumbsch","Nephromopsis subalpina","(Imshaug) Divakar, A.Crespo & Lumbsch","Nephromopsis","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Nephromopsis subalpina","(Imshaug) Divakar, A.Crespo & Lumbsch","Tuckermannopsis subalpina","(Imshaug) Kärnefelt","Nephromopsis","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Nephromopsis subalpina","(Imshaug) Divakar, A.Crespo & Lumbsch","Tuckermanopsis subalpina","(Imsh.) Kärnefelt","Nephromopsis","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Nephromopsis subfendleri","(Essl.) Divakar, A.Crespo & Lumbsch","Nephromopsis subfendleri","(Essl.) Divakar, A.Crespo & Lumbsch","Nephromopsis","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Nephromopsis tuckermanii","Divakar, A.Crespo & Lumbsch","Alectoria californica","(Tuck.) G.Merr.","Nephromopsis","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Nephromopsis tuckermanii","Divakar, A.Crespo & Lumbsch","Cetraria californica","Tuck.","Nephromopsis","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Nephromopsis tuckermanii","Divakar, A.Crespo & Lumbsch","Coelocaulon californicum","(Tuck.) R.Howe","Nephromopsis","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Nephromopsis tuckermanii","Divakar, A.Crespo & Lumbsch","Cornicularia californica","(Tuck.) Du Rietz","Nephromopsis","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Nephromopsis tuckermanii","Divakar, A.Crespo & Lumbsch","Kaernefeltia californica","(Tuck.) A.Thell & Goward","Nephromopsis","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Nephromopsis tuckermanii","Divakar, A.Crespo & Lumbsch","Nephromopsis tuckermanii","Divakar, A.Crespo & Lumbsch","Nephromopsis","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Nephromopsis weberi","(Essl.) Divakar, A.Crespo & Lumbsch","Cetraria weberi","Essl.","Nephromopsis","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Nephromopsis weberi","(Essl.) Divakar, A.Crespo & Lumbsch","Nephromopsis weberi","(Essl.) Divakar, A.Crespo & Lumbsch","Nephromopsis","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Nephromopsis weberi","(Essl.) Divakar, A.Crespo & Lumbsch","Tuckermanella weberi","(Essl.) Essl.","Nephromopsis","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Nesolechia doerfeltii","(Alstrup & P.Scholz) Diederich","Nesolechia doerfeltii","(Alstrup & P.Scholz) Diederich","Nesolechia","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Nesolechia oxyspora var. defecta","(Triebel & Rambold)","Nesolechia oxyspora var. defecta","(Triebel & Rambold)","Nesolechia","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Nesolechia oxyspora var. defecta","(Triebel & Rambold)","Phacopsis oxyspora var. defecta","Triebel & Rambold","Nesolechia","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Nesolechia oxyspora var. oxyspora","","Nesolechia oxyspora var. oxyspora","","Nesolechia","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Neuropogon sphacelatus","(R.Br.) D.J.Galloway, 1992","Neuropogon sphacelatus","(R.Br.) D.J.Galloway, 1992","Neuropogon","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Neuropogon sphacelatus","(R.Br.) D.J.Galloway, 1992","Neuropogon sulphureus","(J.König) Hellbom","Neuropogon","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Nodobryoria abbreviata","(Müll.Arg.) Common & Brodo","Bryoria abbreviata","(Müll.Arg.) Brodo & D.Hawksw.","Nodobryoria","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Nodobryoria abbreviata","(Müll.Arg.) Common & Brodo","Nodobryoria abbreviata","(Müll.Arg.) Common & Brodo","Nodobryoria","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Nodobryoria oregana","(Tuck.) Common & Brodo","Alectoria oregana","Tuck.","Nodobryoria","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Nodobryoria oregana","(Tuck.) Common & Brodo","Bryoria oregana","(Tuck.) Brodo & D.Hawksw.","Nodobryoria","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Nodobryoria oregana","(Tuck.) Common & Brodo","Nodobryoria oregana","(Tuck.) Common & Brodo","Nodobryoria","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Nodobryoria subdivergens","(E.Dahl) Common & Brodo","Bryoria subdivergens","(E.Dahl) Brodo & D.Hawksw.","Nodobryoria","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Nodobryoria subdivergens","(E.Dahl) Common & Brodo","Nodobryoria subdivergens","(E.Dahl) Common & Brodo","Nodobryoria","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Notoparmelia erumpens","(Kurok.) A.Crespo, Ferencová & Divakar","Notoparmelia erumpens","(Kurok.) A.Crespo, Ferencová & Divakar","Notoparmelia","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Notoparmelia kerguelensis","(F.Wilson) Fryday","Notoparmelia kerguelensis","(F.Wilson) Fryday","Notoparmelia","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Notoparmelia kerguelensis","(F.Wilson) Fryday","Parmelia kerguelensis","F.Wilson","Notoparmelia","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Notoparmelia kerguelensis","(F.Wilson) Fryday","Parmelia pseudosulcata","Gyelnik","Notoparmelia","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Omphalora arizonica","(Tuck. ex Willey) T.H.Nash & Hafellner","Lecanora arizonica","(Tuck. ex Willey) W.A.Weber","Omphalora","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Omphalora arizonica","(Tuck. ex Willey) T.H.Nash & Hafellner","Omphalodium arizonicum","Tuck.","Omphalora","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Omphalora arizonica","(Tuck. ex Willey) T.H.Nash & Hafellner","Omphalora arizonica","(Tuck. ex Willey) T.H.Nash & Hafellner","Omphalora","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Oropogon americanus","Esslinger","Oropogon americanus","Esslinger","Oropogon","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Oropogon atranorinus","Essl., 1981","Oropogon atranorinus","Essl., 1981","Oropogon","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Oropogon barbaticus","Esslinger","Oropogon barbaticus","Esslinger","Oropogon","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Oropogon bicolor","Esslinger","Oropogon bicolor","Esslinger","Oropogon","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Oropogon caespitosus","Esslinger","Oropogon caespitosus","Esslinger","Oropogon","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Oropogon evernicus","Essl. & S.D.Leav.","Oropogon evernicus","Essl. & S.D.Leav.","Oropogon","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Oropogon formosanus","Asah.","Oropogon formosanus","Asah.","Oropogon","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Oropogon granulosus","Esslinger","Oropogon granulosus","Esslinger","Oropogon","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Oropogon lopezii","Esslinger","Oropogon lopezii","Esslinger","Oropogon","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Oropogon lorobic","Esslinger","Oropogon lorobic","Esslinger","Oropogon","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Oropogon loxensis","(Fée) Zukal","Oropogon loxensis","(Fée) Zukal","Oropogon","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Oropogon mexicanus","Esslinger","Oropogon mexicanus","Esslinger","Oropogon","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Oropogon pendulus","Esslinger","Oropogon pendulus","Esslinger","Oropogon","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Oropogon protocetraricus","S.D.Leav. & Essl.","Oropogon protocetraricus","S.D.Leav. & Essl.","Oropogon","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Oropogon sperlingii","Esslinger","Oropogon sperlingii","Esslinger","Oropogon","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Pannoparmelia wilsonii","(Räsänen) D.J.Galloway","Pannoparmelia wilsonii","(Räsänen) D.J.Galloway","Pannoparmelia","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelia allardii","Hale, 1959","Parmelia allardii","Hale, 1959","Parmelia","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelia asiatica","A.Crespo & Divakar","Parmelia asiatica","A.Crespo & Divakar","Parmelia","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelia barrenoae","Divakar, M.C.Molina & A.Crespo","Parmelia barrenoae","Divakar, M.C.Molina & A.Crespo","Parmelia","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelia borrerina","Nyl.","Parmelia borrerina","Nyl.","Parmelia","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelia capitata","Hav.","Parmelia capitata","Hav.","Parmelia","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelia consocians","","Parmelia consocians","","Parmelia","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelia coralloidea","(Mey. & Flot.) Vain.","Parmelia coralloidea","(Mey. & Flot.) Vain.","Parmelia","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelia digitata","Lynge","Parmelia digitata","Lynge","Parmelia","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelia fertilis","Müll.Arg.","Parmelia fertilis","Müll.Arg.","Parmelia","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelia fraudans","(Nyl.) Nyl.","Parmelia fraudans","(Nyl.) Nyl.","Parmelia","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelia homogenes","","Parmelia homogenes","","Parmelia","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelia hygrophila","Goward & Ahti","Parmelia hygrophila","Goward & Ahti","Parmelia","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelia imbricaria","Goward, Divakar, M.C.Molina & A.Crespo","Parmelia imbricaria","Goward, Divakar, M.C.Molina & A.Crespo","Parmelia","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelia imitans","","Parmelia imitans","","Parmelia","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelia intensa","","Parmelia intensa","","Parmelia","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelia kauaiensis","","Parmelia kauaiensis","","Parmelia","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelia laxifolia","Hillmann","Parmelia laxifolia","Hillmann","Parmelia","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelia longiloba","","Parmelia longiloba","","Parmelia","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelia martinicana","Nyl., 1885","Canoparmelia martinicana","(Nyl.) Elix & Hale","Parmelia","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelia martinicana","Nyl., 1885","Parmelia martinicana","Nyl., 1885","Parmelia","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelia mauriensis","","Parmelia mauriensis","","Parmelia","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelia neodiscordans","Hale","Parmelia neodiscordans","Hale","Parmelia","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelia omphalodes","(L.) Ach.","Parmelia omphalodes","(L.) Ach.","Parmelia","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelia omphalodes","(L.) Ach.","Parmelia saxatilis var. omphalodes","(L.) Fr.","Parmelia","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelia omphalodes ssp. glacialis","Skult","Parmelia omphalodes ssp. glacialis","Skult","Parmelia","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelia omphalodes ssp. omphalodes","(L.) Ach., 1803","Parmelia omphalodes ssp. omphalodes","(L.) Ach., 1803","Parmelia","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelia persulphurata","","Parmelia persulphurata","","Parmelia","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelia pinnatifida","Kurok.","Parmelia omphalodes ssp. pinnatifida","(Kurok) Skult","Parmelia","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelia pinnatifida","Kurok.","Parmelia pinnatifida","Kurok.","Parmelia","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelia protosignifera","Elix & J.Johnst.","Parmelia protosignifera","Elix & J.Johnst.","Parmelia","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelia rigida","Lynge","Parmelia rigida","Lynge","Parmelia","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelia rigida","Lynge","Parmotrema rigidum","(Lynge) Hale","Parmelia","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelia saxatilis","(L.) Ach.","Parmelia saxatilis","(L.) Ach.","Parmelia","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelia saxatilis","(L.) Ach.","Parmelia saxatilis var. aizonii","Delise ex Duby","Parmelia","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelia saxatilis var. saxatilis","","Parmelia saxatilis var. saxatilis","","Parmelia","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelia shinanoana","Zahlbr.","Parmelia shinanoana","Zahlbr.","Parmelia","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelia skultii","Hale","Parmelia skultii","Hale","Parmelia","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelia squarrosa","Hale","Parmelia squarrosa","Hale","Parmelia","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelia sulcata","Taylor","Parmelia saxatilis var. sulcata","(Taylor) Nyl.","Parmelia","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelia sulcata","Taylor","Parmelia sulcata","Taylor","Parmelia","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelia sulymae","Goward, Divakar, M.C.Molina & A.Crespo","Parmelia sulymae","Goward, Divakar, M.C.Molina & A.Crespo","Parmelia","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelina carporrhizans","(Taylor) Hale","Parmelina carporrhizans","(Taylor) Hale","Parmelina","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelina coleae","Argüello & A.Crespo","Parmelina coleae","Argüello & A.Crespo","Parmelina","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelina entotheiochroa","(Hue) Hale","Parmelina entotheiochroa","(Hue) Hale","Parmelina","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelina quercina","(Willd.) Hale","Parmelia quercina","(Willd.) Vain.","Parmelina","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelina quercina","(Willd.) Hale","Parmelina quercina","(Willd.) Hale","Parmelina","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelina tiliacea","(Hoffm.) Hale","Parmelia tiliacea","(Hoffm.) Ach.","Parmelina","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelina tiliacea","(Hoffm.) Hale","Parmelina tiliacea","(Hoffm.) Hale","Parmelina","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelinella amazonica","(Nyl.) A.S.Rodrigues, A.P.Lorenz & Canêz","Canoparmelia amazonica","(Nyl.) Elix & Hale","Parmelinella","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelinella amazonica","(Nyl.) A.S.Rodrigues, A.P.Lorenz & Canêz","Parmelia amazonica","Nyl.","Parmelinella","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelinella amazonica","(Nyl.) A.S.Rodrigues, A.P.Lorenz & Canêz","Parmelinella amazonica","(Nyl.) A.S.Rodrigues, A.P.Lorenz & Canêz","Parmelinella","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelinella cinerascens","(Lynge) Benatti & Marcelli","Parmelinella cinerascens","(Lynge) Benatti & Marcelli","Parmelinella","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelinella lindmanii","(Lynge) A.S.Rodrigues, Canêz & A.P.Lorenz","Myelochroa lindmanii","(Lynge) Elix & Hale","Parmelinella","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelinella lindmanii","(Lynge) A.S.Rodrigues, Canêz & A.P.Lorenz","Parmelinella lindmanii","(Lynge) A.S.Rodrigues, Canêz & A.P.Lorenz","Parmelinella","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelinella salacinifera","(Hale) Marcelli & Benatti","Canoparmelia salacinifera","(Hale) Elix & Hale","Parmelinella","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelinella salacinifera","(Hale) Marcelli & Benatti","Parmelia salacinifera","Hale","Parmelinella","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelinella salacinifera","(Hale) Marcelli & Benatti","Parmelinella salacinifera","(Hale) Marcelli & Benatti","Parmelinella","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelinella salacinifera","(Hale) Marcelli & Benatti","Pseudoparmelia salacinifera","(Hale) Hale","Parmelinella","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelinella versiformis","(Kremp.) Marcelli","Parmelinella versiformis","(Kremp.) Marcelli","Parmelinella","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmelinopsis swinscowii","(Hale) Elix & Hale","Parmelinopsis swinscowii","(Hale) Elix & Hale","Parmelinopsis","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmeliopsis ambigua","(Hoffm.) Nyl.","Parmelia ambigua","(Hoffm.) Ach.","Parmeliopsis","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmeliopsis ambigua","(Hoffm.) Nyl.","Parmeliopsis ambigua","(Hoffm.) Nyl.","Parmeliopsis","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmeliopsis ambigua","(Hoffm.) Nyl.","Parmeliopsis diffusa","(Schaerer) Poetsch","Parmeliopsis","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmeliopsis esorediata","(Degel.) Nordnes","Parmeliopsis esorediata","(Degel.) Nordnes","Parmeliopsis","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmeliopsis hyperopta","(Ach.) Vain.","Parmeliopsis hyperopta","(Ach.) Vain.","Parmeliopsis","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmeliopsis subambigua","Gyelnik","Parmeliopsis halei","(Tuck.) Hale","Parmeliopsis","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmeliopsis subambigua","Gyelnik","Parmeliopsis subambigua","Gyelnik","Parmeliopsis","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmotrema aberrans","(Vain.) Canêz & Marcelli","Parmotrema aberrans","(Vain.) Canêz & Marcelli","Parmotrema","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmotrema abessinicum","(Krempelh.) Hale","Parmotrema abessinicum","(Krempelh.) Hale","Parmotrema","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmotrema acanthifolium","(Pers.) A.A.Spielm. & Marcelli","Parmotrema acanthifolium","(Pers.) A.A.Spielm. & Marcelli","Parmotrema","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmotrema acutatum","Kurok.","Parmotrema acutatum","Kurok.","Parmotrema","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmotrema albinatum","(K.H.Moon, Kurok. & Kashiw.) O.Blanco, A.Crespo, Divakar, Elix & Lumbsch","Parmotrema albinatum","(K.H.Moon, Kurok. & Kashiw.) O.Blanco, A.Crespo, Divakar, Elix & Lumbsch","Parmotrema","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmotrema andinum","(Müll.Arg.) Hale","Parmotrema andinum","(Müll.Arg.) Hale","Parmotrema","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmotrema argentinum","(Kremp.) Hale","Parmotrema argentinum","(Kremp.) Hale","Parmotrema","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmotrema arnoldii","(Du Rietz) Hale","Parmelia arnoldii","Du Rietz","Parmotrema","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmotrema arnoldii","(Du Rietz) Hale","Parmotrema arnoldii","(Du Rietz) Hale","Parmotrema","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmotrema arnoldii","(Du Rietz) Hale","Parmotrema subarnoldii","(Abbayes) Hale","Parmotrema","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmotrema austrosinense","(Zahlbr.) Hale","Parmelia austrosinensis","Zahlbr.","Parmotrema","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmotrema austrosinense","(Zahlbr.) Hale","Parmotrema austrosinense","(Zahlbr.) Hale","Parmotrema","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmotrema cetratum","(Ach.) Hale","Parmelia cetrata","Ach.","Parmotrema","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmotrema cetratum","(Ach.) Hale","Parmotrema cetratum","(Ach.) Hale","Parmotrema","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmotrema cetratum","(Ach.) Hale","Rimelia cetrata","(Ach.) Hale & A.Fletcher","Parmotrema","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmotrema chiapense","(Hale) Hale","Parmotrema chiapense","(Hale) Hale","Parmotrema","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmotrema circinatum","Elix & R.W.Rogers","Parmotrema circinatum","Elix & R.W.Rogers","Parmotrema","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmotrema clavuliferum","(Räsänen) Streimann","Parmotrema clavuliferum","(Räsänen) Streimann","Parmotrema","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmotrema commensuratum","(Hale) Hale","Parmotrema commensuratum","(Hale) Hale","Parmotrema","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmotrema conferendum","Hale","Canomaculina conferenda","(Hale) Elix","Parmotrema","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmotrema conferendum","Hale","Parmotrema conferendum","Hale","Parmotrema","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmotrema conformatum","(Vainio) Hale","Parmotrema conformatum","(Vainio) Hale","Parmotrema","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
"Parmotrema confusum","Hale","Parmotrema confusum","Hale","Parmotrema","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","lichen"
