"actaxon","acauth","taxon","auth","genus","kingdom","phylum","class","order","family","type"
"Riccia limicola","Jovet-Ast","Riccia limicola","Jovet-Ast","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia lindmanii","Steph.","Riccia lindmanii","Steph.","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia linearis","(Schiffn.) Steph.","Riccia linearis","(Schiffn.) Steph.","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia luticola","Na-Thalang","Riccia luticola","Na-Thalang","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia macallisteri","M.Howe","Riccia macallisteri","M.Howe","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia macrocarpa","Levier","Riccia macrocarpa","Levier","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia macrospora","Steph.","Riccia macrospora","Steph.","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia mamillata","Trab. ex Steph.","Riccia mamillata","Trab. ex Steph.","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia mammifera","O.H.Volk & Perold","Riccia mammifera","O.H.Volk & Perold","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia mamrensis","Perold","Riccia mamrensis","Perold","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia mauryana","Steph.","Riccia mauryana","Steph.","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia membranacea","Gottsche & Lindenb.","Riccia amazonica","Spruce","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia membranacea","Gottsche & Lindenb.","Riccia membranacea","Gottsche & Lindenb.","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia membranacea","Gottsche & Lindenb.","Riccia tenuis","Austin","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia michelii","Raddi","Riccia michelii","Raddi","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia michelii","Raddi","Riccia michelii var. ciliaris","Levier","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia michelii","Raddi","Riccia michelii var. subinermis","Levier","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia michelii","Raddi","Riccia palmata","Lindenb.","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia michelii","Raddi","Riccia tumida","Lindenb.","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia microciliata","O.H.Volk & Perold","Riccia microciliata","O.H.Volk & Perold","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia miyakeana","Schiffn.","Riccia miyakeana","Schiffn.","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia moenkemeyeri","Steph.","Riccia abnormis","(Steph.) Steph.","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia moenkemeyeri","Steph.","Riccia moenkemeyeri","Steph.","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia montana","Perold","Riccia montana","Perold","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia multifida","(Steph.) F.M.Bailey","Riccia multifida","(Steph.) F.M.Bailey","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia muscicola","Steph.","Riccia muscicola","Steph.","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia namaquensis","Perold","Riccia namaquensis","Perold","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia natalensis","Sim","Riccia natalensis","Sim","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia nigerica","E.W.Jones","Riccia nigerica","E.W.Jones","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia nigrella","DC.","Riccia nigrella","DC.","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia nigrescens","Mont.","Riccia nigrescens","Mont.","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia nipponica","S.Hatt.","Riccia nipponica","S.Hatt.","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia novohannoverana","Schiffn.","Riccia novohannoverana","Schiffn.","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia numeensis","Steph.","Riccia numeensis","Steph.","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia oerstediana","Lindenb. & Hampe","Riccia oerstediana","Lindenb. & Hampe","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia oerstediana","Lindenb. & Hampe","Riccia stenophylla","Spruce","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia okahandjana","S.W.Arnell","Riccia okahandjana","S.W.Arnell","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia olgensis","Na-Thalang","Riccia olgensis","Na-Thalang","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia ozarkiana","McGregor","Riccia ozarkiana","McGregor","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia pandei","Udar","Riccia pandei","Udar","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia papillispora","Steph.","Riccia papillispora","Steph.","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia papillosa","Moris","Riccia papillosa","Moris","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia papillosa","Moris","Riccia pseudopapillosa","Levier ex Steph.","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia papulosa","(Steph.) Steph.","Riccia papulosa","(Steph.) Steph.","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia papulosa var. papulosa","","Riccia papulosa var. papulosa","","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia papulosa var. variabilis","Na-Thalang","Riccia papulosa var. variabilis","Na-Thalang","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia paraguayensis","Spruce","Riccia paraguayensis","Spruce","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia paranaensis","Hässel","Riccia paranaensis","Hässel","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia parvoareolata","O.H.Volk & Perold","Riccia parvoareolata","O.H.Volk & Perold","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia pathankotensis","Kashyap","Riccia pathankotensis","Kashyap","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia perennis","Steph.","Riccia perennis","Steph.","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia perssonii","Sultan Khan","Riccia perssonii","Sultan Khan","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia perthiana","Steph. ex K.I.Goebel","Riccia perthiana","Steph. ex K.I.Goebel","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia planobiconvexa","Steph.","Riccia planobiconvexa","Steph.","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia planobiconvexa","Steph.","Riccia tenuilimbata","Steph.","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia porosa","Taylor","Riccia porosa","Taylor","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia pottsiana","Sim","Riccia pottsiana","Sim","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia prominens","Meijer","Riccia prominens","Meijer","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia pubescens","S.Hatt.","Riccia pubescens","S.Hatt.","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia pullulans","Jovet-Ast","Riccia pullulans","Jovet-Ast","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia pulveracea","Perold","Riccia pulveracea","Perold","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
